0.00s:  What's up outliers?
348.04s:  Normally when we refer to naked options, we would refer to that in the context of selling
353.28s:  them.
354.60s:  And when we're buying them colloquially, we would refer to them as singles, a long option
361.24s:  whatever.
362.64s:  But the nuances when we're talking about a covered option is normally that's going to be
369.80s:  a short option that's paired with something.
373.36s:  So for example, if we have a short call and we look at the risk profile on this short
381.12s:  call, you'll see that it has unlimited risk because the underlying can go up into perpetuity
391.48s:  and there's nothing that stops it.
394.00s:  Now we can have a covered call and the context of a covered call would be if we have shares
405.04s:  that then cap our risk.
408.44s:  That's what a covered call would be.
412.00s:  So the way to think about the difference between covered options and single options is covered
418.20s:  options typically are going to be short options colloquially like when we're talking about
422.56s:  them.
423.56s:  There will be short options that have some sort of other trade associated with it that
431.20s:  decreases the total risk profile from an unlimited potential risk.
436.84s:  Now this idea of like unlimited risk versus defined risk, I actually think it's important
446.00s:  to talk about that because this one is actually really confusing to people.
450.48s:  So and these are actually some of our quiz questions.
452.64s:  So we'll start with your first quiz question here, which is if I sell a put, does this
464.56s:  is this undefined risk or is this defined risk?
468.68s:  If I sell a put is this undefined risk or defined risk?
472.20s:  And the reason I asked this question is you'll you'll get a sense in a second, but I want
475.96s:  to root out the difference between how we colloquially talk about options and then what the
483.04s:  actual reality is.
486.36s:  So naked short put is that risk defined or risk undefined.
496.76s:  And he guesses and there's two different answers to this one.
505.60s:  Joey says undefined but technically defined since as a floor.
509.68s:  Yep, that's correct.
510.68s:  So for Cedar Savage is also correct, Robo is also correct.
514.68s:  Joey is definitely the most correct out of these.
518.24s:  So for Elon songs also correct.
524.16s:  So for Cedar Savage, Robo and Elon songs, are you familiar with the second part that
528.88s:  Joey is talking about that we refer to it is undefined, but it actually is defined.
537.84s:  You guys know why that's the case.
543.80s:  And again, this is why I want to talk about this because there's nuance in the language.
550.84s:  Robo says no, Elon songs says limited risk, that's it.
554.04s:  So a stock can go to zero.
557.72s:  Where does it go pass zero?
560.32s:  Right?
561.32s:  It gets buried.
562.72s:  It's not a commodity, something like oil crude oil futures that have a commodity component.
569.24s:  They can go negative because there's storage costs, there's transportation costs, there's
573.84s:  insurance on the barrels of oil themselves.
578.48s:  That is not case here.
580.28s:  So this stock can only go to zero.
583.48s:  So we call it undefined risk, but it's not undefined risk, it's completely defined.
589.72s:  Sooner or later, this will you go to zero.
593.40s:  You can't go below zero with these equities.
596.70s:  So does that part make sense?
598.92s:  With respect to the slight nuance between defined and undefined risk, when we're talking
605.68s:  about something like a naked short put, that we would call it colloquially is undefined
612.08s:  risk, but it actually is defined.
616.16s:  Vladimir Putin says the strike is the floor, not the strike, but it would be the
619.68s:  stock going to zero.
621.96s:  That's the floor.
623.20s:  Okay, cool.
624.20s:  So we're good there.
625.60s:  Now what about an inverse scenario?
630.08s:  What if we sell a call?
636.72s:  Is this defined or undefined?
645.36s:  All of the same thought processes before.
653.20s:  Joey says unlimited.
655.20s:  Seater says true undefined.
656.68s:  Robo says totally undefined.
658.28s:  Policies undefined.
659.68s:  Okay, great questions or kind of great inputs.
664.92s:  Is there, Lord's Lothable, we hit your, I don't know if you caught the answer, we actually
669.80s:  hit your question like right at the beginning.
671.36s:  So if you want to rewind, if you missed it, you can go back, check it out.
675.80s:  Vladimir Putin says again, covered call, nope, this is just a short call.
679.04s:  We're talking about a short call.
680.80s:  And so far, Joey, Seater, Robo, Polo, H all say undefined.
689.28s:  So here's the follow on question.
694.44s:  And again, this is pedantic, but I want the point to be made, because I think it's an
699.40s:  important consideration.
702.76s:  Are there unlimited resources on planet earth?
708.48s:  So if we think about the value of everything that exists, is it unlimited or is there
717.04s:  a limited amount of value that exists?
730.40s:  Elon Song says yes.
733.40s:  Technically limited.
737.40s:  Yeah.
738.40s:  Seater says the spaceship earth, okay.
745.76s:  Limited resource, but we make a value.
748.32s:  Joey says sure, but what is the limit?
750.24s:  It's actually undefined, but limited.
752.08s:  Exactly.
753.08s:  Joey has the exact nuance I'm hunting for there.
756.36s:  So Polo says if you consider IP, there's no upper bound.
760.60s:  Again, when we talk about value, it's not the value that I place on something.
767.60s:  I could say my value is Eric is $10 billion.
774.00s:  If there's not a counterparty that agrees that my value is $10 billion, there's no market.
783.60s:  So to your point, I can value myself at whatever I want, but what makes undefined value
790.68s:  is the counterparty that confirms that value, otherwise it's just a number.
797.00s:  So all I'm highlighting in this instance, and I use all of the resources in the world
802.80s:  as a obviously a really, really far removed example, but the example I'm making is even
810.56s:  something like this.
812.64s:  At some point becomes defined.
816.48s:  We just have no idea where we have no idea where I've never seen a stock go to infinity,
822.80s:  obviously, because you can't.
825.04s:  So all I'm highlighting is that when we're looking at this idea of defined undefined
832.72s:  risk, we use the terms undefined colloquially.
837.88s:  We use them as a shortcut, a bypass.
841.76s:  It's just a little faster than to say that there's a bunch of value and we don't know where
846.44s:  it is.
847.44s:  We just say undefined, even to the downside that clearly has a zero, it's the same thing
852.28s:  to the upside.
853.28s:  Sooner or later, value that you run out of how high a company can achieve a market cap,
859.32s:  again, we don't currently have unlimited market cap companies and we never will, because
864.08s:  sooner or later they will hit some sort of pinnacle of value that they can provide before
869.44s:  they erode.
871.16s:  So that's a really extreme example, not super applicable here.
876.60s:  The main point I'm trying to highlight with this example though is the nuance of when
881.12s:  we talk about things like defined versus undefined risk.
885.32s:  That's all.
886.72s:  Each says so then whatever counterparty is willing to pay above your strike is the upper
892.12s:  bound limit willing forced.
894.12s:  Yeah, I mean realistically speaking, this is when I take this into a more realistic example,
901.48s:  do you know what your risk is defined to the upside?
904.28s:  Because it is defined.
905.44s:  It's absolutely defined.
906.80s:  I use that first example as an extreme theoretical conversation, but there's a practical answer
911.92s:  to this that's very easy.
913.92s:  So what's the defined risk to the upside?
917.80s:  Because it is defined 100%.
926.20s:  Any guesses?
928.04s:  It depends on the plan.
935.24s:  Nope, it's not wrong, but that's not the example I'm using.
940.96s:  Your broker.
942.40s:  Your broker will liquidate your account.
945.00s:  That's where it's defined.
946.32s:  Now where that point is, we'll depend on the broker.
948.72s:  We'll depend on the size of the account.
950.16s:  It'll depend on the collateral account.
952.40s:  Your broker will not let you hold something to infinity, right?
956.44s:  Like your risk is still defined.
958.64s:  It's not unlimited risk.
960.68s:  Because sooner or later your broker is going to be like margin requirement is up.
965.28s:  Marge requirement is up.
966.84s:  Marge requirement exceeds your account value.
969.12s:  You are now in a margin call.
971.00s:  You have X period of time to add capital before I start liquidating your shit for you.
976.08s:  You didn't meet the requirement to plus up your capital.
978.84s:  I'm liquidating your account.
980.44s:  You're now in a debit to me for X number of dollars.
985.16s:  That's where it's defined.
986.48s:  So you absolutely can exceed your total account value, but it's not going to go to infinity.
991.04s:  Sooner or later your broker is responsible for the risk.
994.16s:  They're literally not going to let it go to infinity.
997.12s:  So even when we're looking at something like a covered call, it in no way is undefined
1001.60s:  in a practical sense.
1003.52s:  Because your broker will not let that happen again.
1007.16s:  That's the nuance of these things.
1009.48s:  There's a completely theoretical component to learning options, which again, you guys,
1014.24s:  the theoretical answer is literally on point.
1016.48s:  Everybody saying totally undefined.
1018.08s:  It is on point because it can go to infinity where that is and where finite resources on
1023.56s:  planet earth run out.
1024.76s:  I don't know, but short of that technically, it can go there.
1029.92s:  That would define it at some point again and undefined points.
1032.44s:  You don't know where it is.
1033.44s:  It's not infinite, but way before we get anywhere near that, your broker is going to close
1039.08s:  your account done.
1041.36s:  So that's the nuance when we're talking about define undefined.
1046.12s:  The reason why we care about discussing defined undefined risk profiles is simply because
1051.32s:  it helps us understand the behavior of options in a quicker way to synthesize it.
1057.44s:  Like that's pretty much it.
1058.44s:  It's just a slightly faster way to think about and to discuss options positions.
1064.56s:  So G36 is here.
1069.40s:  They're getting clapped on spy options.
1071.12s:  That happens.
1072.12s:  H says God selling naked calls on Burke A and rolling thinking he could get out, which
1079.20s:  would be a bastard and a half.
1080.52s:  Yeah.
1081.52s:  Well, I mean, sooner or later, God just throws tsunami or some shit and then he'll take
1084.56s:  care of it.
1085.56s:  But yeah.
1087.36s:  Elon Seng says these are kind of tricky questions.
1089.44s:  Yeah, they are.
1090.44s:  They're nuanced questions.
1091.64s:  We're not at the easy questions.
1092.72s:  I have plenty of easy questions.
1094.04s:  I'll throw some of those in so that we can get our confidence up.
1098.04s:  Here's your first easy question.
1100.76s:  So you want to place a bullish trade.
1103.56s:  What options structures make sense?
1106.72s:  It's about a softball as you can get.
1111.12s:  Paul says is the broker liable and if the count is deep, oh, of course.
1114.12s:  Yeah.
1115.12s:  The broker is reliable is completely, completely accountable for your risk.
1120.16s:  They obviously will pursue you to clear their risk, but they are the, they are the counter
1126.32s:  party.
1127.32s:  They are responsible for covering the risk.
1129.32s:  That's why you see things like bank runs, slightly different example, but in the example
1134.16s:  of a run on a bank, even Silicon Valley, Silicon Valley had the capital, but they weren't
1139.44s:  liquid enough to provide the capital fast enough.
1142.48s:  And that's what literally caused that bank to go under.
1144.84s:  They were completely liable to produce what they needed to produce and they couldn't
1149.96s:  produce it.
1150.96s:  Although they had the means to do so.
1153.84s:  So your broker is 100% on the hook for your risk as a trader.
1160.52s:  That's why they're very conservative with their margin requirements because they're not
1165.44s:  just going to take your risk for you.
1168.36s:  Right?
1169.36s:  So when we look at something like this and we have this, what is this?
1172.44s:  This is a short call in TLT.
1174.64s:  Right now the broker says, again, this is a pass through IRA account.
1178.48s:  So this is regulation team margin, a little more strict because it's for an IRA account.
1183.04s:  They were saying, I need 1700 bucks for this position for me to call this good.
1189.14s:  So yeah, the broker is responsible and they're not going to take the risk for you.
1195.36s:  G36 says long call short puts bingo.
1199.12s:  Vladimir off Putin says selling put by Nicole.
1201.52s:  That's good.
1202.52s:  Joey says ratio called diagonal long call short put by the stock.
1205.92s:  Yep, yep, yep.
1206.92s:  That's good.
1207.92s:  H says long call short puts ratio diagonals.
1213.60s:  Yep.
1214.60s:  Iron condors called debit spreads.
1216.96s:  Yep, put credit spreads also bullish.
1219.12s:  Yep, all correct.
1220.56s:  We also have things like covered calls, ratio covered calls, covered strangle long futures.
1228.52s:  All of those are on the docket.
1230.08s:  Paul says, I see, which I assume is iron condor, I would argue that that is not necessarily
1236.04s:  what I would consider bullish.
1238.12s:  G36 says callers.
1239.72s:  Yeah, I'd give it to give it to that too.
1244.32s:  Synthetic longs tons of ways.
1246.28s:  Those are all correct.
1249.48s:  Good job.
1250.48s:  All right, so that was kind of boring to do like that easy of a question.
1255.36s:  So let's get into something more fun.
1257.32s:  Should we?
1258.48s:  So this one is still very easy, but we will hopefully zoom in from here and make it a
1270.00s:  little more interesting.
1272.44s:  So when we're thinking about an options premium, there's two components to it.
1275.56s:  What are those two components?
1285.56s:  So for Joey and Vladimir off Putin, I would call you both out for the time value component
1297.52s:  because if you're going to break it down that way, it's a lit like you open yourself
1304.36s:  up for a little more scrutiny, which funny enough, it is my next question, which is this.
1315.52s:  Two inputs yield extrinsic value.
1321.36s:  So Joey and off Putin have one of them, right?
1327.00s:  They both already hit time value.
1330.08s:  So exactly.
1331.84s:  So Joey's got it.
1333.32s:  I'm in volatility bingo.
1335.36s:  Good.
1340.40s:  For everybody else, does that make sense?
1344.88s:  So when we're talking about the premium of an option, does the premium breakdown make
1350.96s:  sense?
1352.96s:  Okay.
1355.96s:  So we're talking about intrinsic value and follow on question.
1362.48s:  How do we, how do we figure out an intrinsic value?
1366.40s:  How do we calculate that?
1368.16s:  What's the path?
1374.88s:  It is a pretty straightforward difference between strike and the underlying.
1391.08s:  Whether it's in the end of money or not.
1392.52s:  So Dr. Zayis is about right.
1396.84s:  Fair price minus strike times 100 is incorrect.
1406.36s:  Joey says amount in the money.
1407.80s:  That's good.
1409.80s:  Age says stock price difference for delta value of shares.
1412.92s:  That's not correct.
1414.96s:  So this is good example.
1416.20s:  Let's take a look here.
1418.96s:  So if I follow G36's formula and I take the share price, which is 100 and I say,
1426.80s:  subtract a strike price of 105.
1429.68s:  What do I get?
1433.56s:  Get negative five times 100.
1438.72s:  So it's not that.
1444.68s:  The way that we calculate, Cedar Savage is directly on fleek.
1452.00s:  Joey says absolute value.
1453.48s:  No, because this isn't five dollars in the money.
1459.48s:  G36 says, I guess it was assumed in the money.
1462.68s:  Aha.
1463.68s:  Well, there's no assumption here.
1466.12s:  We're at the basics level.
1468.32s:  So this is exactly where we clarify assumptions.
1472.36s:  It's it's literally based on how far an option is in the money.
1478.72s:  So for calls, the way we calculated is different than puts.
1485.20s:  So for what Cedar Savage put above is exactly correct.
1491.20s:  Depending on if you have a call or if you get a put, we'll determine if you take strike
1501.72s:  price less stock or stock less strike.
1506.32s:  So the easier way to think about it is just simply how far in the money are you?
1510.32s:  How far in the money is in the option is your option?
1514.48s:  That's your intrinsic value.
1516.32s:  So if we have a 95 call and the stock is at 100, we would take the stock price of 100,
1525.60s:  subtract our strike of 95 for the call, you get five dollars.
1531.32s:  That's how far in the money you are over here.
1534.36s:  And on the put side, it's just the inverse.
1537.80s:  So it's not the same calculation for both.
1540.96s:  It's dependent on if it's a call or a put.
1544.08s:  Easy is way to think about it is simply how far in the money are you?
1548.80s:  That's all.
1551.60s:  Cool.
1554.20s:  Next question.
1558.24s:  This one should be easy.
1565.72s:  The question is what option will make more money on a 1% move in a stock?
1572.56s:  A 10 delta call or 50 delta call?
1584.20s:  John says it depends on if it's up or down.
1586.56s:  It doesn't because you'll notice that that's defined in the question with a plus 1%.
1595.08s:  So I see 50s across the board.
1597.28s:  Good.
1598.28s:  Good, good, good.
1602.76s:  So now at what point does that reverse?
1612.12s:  But what point does the 10 delta make more than the 50 delta?
1630.08s:  After it becomes in the money, incorrect.
1634.48s:  And a large, quick move to the upside, also incorrect.
1645.04s:  Read between the lines.
1648.20s:  Think about delta.
1649.44s:  What's the highest delta can get?
1655.32s:  1.
1659.72s:  Each of those options is going to hit a delta of 1 faster.
1666.72s:  50 delta.
1671.04s:  Good.
1673.56s:  Jonathan is reading between the lines.
1678.32s:  So if I take a look at this 101 call, which is a 50 delta, let's go to the 110 just
1685.68s:  for an example.
1687.76s:  And right around, I'll throw it down here just to make it easier.
1692.96s:  So if I go to 110, my 50 delta is going to make 769.
1698.44s:  My 10 delta is going to make 372.
1702.84s:  So let's say TLT goes to 200 now.
1706.40s:  My 10 delta makes 92.79.
1711.56s:  My 50 delta makes 97.54.
1718.04s:  So Jonathan is 100% correct.
1720.40s:  At no point in time, will the 10 delta overwhelm the 50 delta for a one on one basis?
1731.80s:  And it's because our deltas are limited.
1734.68s:  The examples that you guys are thinking of when we're considering a large move is when
1740.84s:  there are more of the further out of the money options because a lot of times when we compare
1749.04s:  these will compare the same cost.
1751.28s:  Right?
1752.28s:  So this cost a dollar 46.
1753.76s:  This costs 21 cents.
1756.16s:  So in this case, if I size them to be the same dollar value, then the story is different.
1765.64s:  So if we do like seven, age says, but the premium paid, it's only a larger percentage
1775.28s:  move on the option.
1776.28s:  That's exactly correct.
1777.28s:  So your option will show a much, much, much higher percent return on a one for one
1783.52s:  basis.
1785.16s:  If you do the out of the money option, the further out the 10 delta versus the 50 delta,
1790.28s:  the 10 delta as I just showed you was going to give you like $9,300 a red average.
1795.52s:  You only put 21 bucks in to get $9,300 in the scenario with the 50 delta, you put up
1800.64s:  $146 and you got $97.54.
1803.80s:  So on a gross dollar amount, you still made more with the at the money, but the percent
1812.12s:  return for the out of the money will be much higher.
1816.96s:  The reason why this is so important to understand is because as a trader, you have to be ready
1823.76s:  to flow in and out in between percent returns, gross returns, how much you're laying out,
1831.28s:  the behavior of what you're laying out, all of that matters a lot.
1836.52s:  And traders get too unilaterally minded with their perception of what may or may not
1842.20s:  perform better for X, Y or Z reason.
1846.16s:  And it's all about structuring things the way that you want them to behave.
1853.08s:  This is why when I talk about things like the ratio called the Agnal Strategy that I run
1857.84s:  or the ratio put diagonal strategy that I run that the base position is typically in
1864.28s:  the money.
1865.28s:  And the reason for that is I will get a lower percent return on my money, but I get a
1870.16s:  better dollar for dollar move with the underlying.
1872.92s:  I will add kicker options if I'm highly convicted that will compound quickly, but those
1878.76s:  only work if things move in my favor quickly enough.
1882.96s:  And if they don't, then as long as I get a moderate move, then my position still will
1887.84s:  probably work out with the higher delta, but it's all a series of trade-offs.
1893.72s:  So when we look at this, it's important to understand the way that these two different
1901.56s:  things behave around one another.
1908.56s:  We're going to be doing a lot of switching between sit and stand and because my prednisone
1913.84s:  dosage is coming down today.
1915.52s:  So the old, the old herniated disc is playing games with your boy.
1921.76s:  Age says definitely guilty of honing in on one metric percent versus capital outlay.
1927.52s:  This is good food for thought.
1928.72s:  Yeah, exactly.
1929.72s:  And it's super normal.
1930.72s:  Everybody, literally everybody does it.
1933.00s:  It is as common as you can imagine.
1935.52s:  So that's exactly why we do these exercises.
1938.00s:  Okay, cool.
1939.30s:  So I think we have that one down.
1941.36s:  Let's talk about this next one.
1942.72s:  We start to get into slightly more nuanced topics.
1946.52s:  What is a stock market inefficiency?
1949.32s:  Now this, I'm not going with the textbook definition because there are like some really,
1954.28s:  really rigid definitions of it.
1956.04s:  I don't care so much about that.
1957.84s:  I want to understand the way that we think about inefficiency.
1968.04s:  And then I think I have a video I can share on this.
1981.84s:  An opportunity.
1982.84s:  Okay, I'll take that.
1991.84s:  Mispricing capitalized until it's armed out potentially.
1998.40s:  Define efficiency please.
1999.48s:  I'm asking you.
2000.48s:  That's my question to you.
2010.20s:  And the value doesn't match up across platforms.
2012.20s:  That could be an example of it.
2020.12s:  The adverse ass not it.
2023.24s:  Tom Saudon of the say doesn't exist.
2025.08s:  That's objectively false.
2026.92s:  We know that's not true.
2030.32s:  Follow says a mispricing preferably a tradable one.
2033.52s:  It could be.
2039.40s:  Any other guesses.
2050.84s:  When the market has impressed the news events could be.
2056.68s:  Dr. Zayn's market price does not equal intrinsic value of the stock.
2060.00s:  That's an interesting one.
2061.00s:  So I'm actually not sure if that would be considered inefficiency personally because
2066.16s:  the markets are discounting mechanisms.
2068.88s:  So I literally don't know the answer to that one personally.
2071.56s:  I'm not sure that I would consider something not trading at or above intrinsic value in
2076.92s:  inefficiency though because I think that markets are designed to be discounting.
2084.00s:  So it's a good point.
2085.64s:  But so think of it this way.
2090.12s:  When we think about like okay so from inefficient market hypothesis.
2096.52s:  And inefficiency is when essentially information is failed to be baked into price.
2103.32s:  That's from inefficient market hypothesis the theoretical definition.
2106.40s:  I don't care about that.
2107.40s:  That doesn't really matter to me.
2108.96s:  I actually much prefer more of the practical definitions for something like inefficiencies
2115.12s:  versus mispricings.
2117.00s:  So inefficiency for my lens and this isn't just based on me.
2122.28s:  This is like from work of most volatility traders and stuff like that.
2125.72s:  Like you can read you and some clairs books and he'll talk about the difference between
2129.80s:  inefficiencies and mispricings.
2132.04s:  And inefficiencies are things that we know are there.
2137.52s:  We can see them.
2139.72s:  And it's there for a reason.
2141.84s:  So you and some clear has one of the best examples of this that you can think of.
2146.36s:  So think of a $20 bill and this is his example.
2150.24s:  I want to be super clear.
2151.24s:  This is you and this example.
2152.24s:  You can check this out from some of the podcasts that I did with him.
2154.56s:  But it's a great example.
2155.56s:  If you have a $20 bill and you're walking down the side of the sidewalk and you see the
2162.92s:  $20 bill outside of a bar and it's like 11 o'clock at night.
2168.88s:  That is a mispricing relative to the market.
2173.88s:  There's probably a reason why that happened.
2176.24s:  There was probably a drunk dude coming out of the bar, fumbling to grab his shit.
2181.00s:  He dropped the $20 bill.
2182.82s:  You pick it up and then you walk on.
2185.92s:  Then if you walk past that bar every single day, is that $20 still going to be there each
2192.60s:  time?
2194.60s:  Probably not.
2197.16s:  That's a mispricing.
2198.68s:  Mispricings are things that pop up for some reason or another, but they're typically
2202.64s:  short-lived.
2205.00s:  Then there's inefficiencies.
2207.72s:  And efficiency is like the volatility risk premium.
2211.72s:  We know definitively, quantifiably, over a long duration.
2217.44s:  We know we mispriced volatility relative to realize volatility.
2223.60s:  We know we do it.
2226.40s:  That's no secret.
2227.68s:  It's been there for literally as long as the stock market's been around.
2231.80s:  As efficient as the stock market is, it's still there today.
2236.48s:  So the example for that is like if that $20 bill, instead of being on the sidewalk,
2242.32s:  it's in the middle of a five lane California highway.
2245.72s:  And that $20 bill is out in the middle of the road, flopping around.
2249.08s:  You can go grab it.
2250.08s:  It's there.
2251.24s:  If you're fast enough, you can go grab it, get back to the sidewalk, take your $20,
2255.88s:  but there's a risk involved you could get hit by a fucking car.
2260.12s:  So we can see the $20 bill.
2261.84s:  We know the $20 bill is there, but a lot of people are like, man, it's not worth
2266.04s:  $20.
2267.04s:  I'd rather not get hit by some 18 year old chick cruising down the highway, texting,
2273.68s:  sending snapchats, then running me over as I'm trying to grab my $20 bill.
2277.96s:  I already have a herniated disk.
2279.28s:  The last thing I need is like a vehicle accident to pile onto that.
2283.28s:  Maybe I don't know.
2284.28s:  Maybe it would write the back or something, but you know, you get the point.
2287.60s:  There's a reason why it's there.
2290.36s:  So that's the exact difference between something like an inefficiency in a mispricing.
2299.16s:  An inefficiency is there for some sort of reason, and we know it's there.
2304.76s:  Post-earnings announcement drift is an example of an inefficiency.
2311.40s:  There are inefficiencies in momentum, triggers, information, indiscreteness is another inefficiency.
2320.48s:  There's lots of market inefficiencies, and they have varying levels of efficacy,
2326.88s:  tradable, window dressing is another known inefficiency.
2331.72s:  So inefficiencies are these things that we know are there that we can capitalize on them.
2337.04s:  We're typically not going to make a ton of money to grab them because they're going to
2341.36s:  be fairly competitive because a lot of people know they're there, but they continue to perpetuate.
2347.60s:  One of them says, Roryn Kitty tweets are inefficiency.
2350.84s:  That's a good question.
2354.44s:  I don't, I would call it a mispricing, but I also can absolutely see it being an inefficiency.
2364.28s:  The only reason why I would consider it a mispricing is because it gets priced away so fast,
2370.72s:  but to your point, it happens, well, not frequently, but semi-frequently.
2379.40s:  The way I view that is when Roryn Kitty tweets, that's when the drunk guy walks out of the
2385.16s:  bar.
2387.96s:  So it's not perpetual, but it is not also a one-time thing, which mispricings don't have
2396.24s:  to be a one-time thing.
2398.04s:  I like that example.
2399.20s:  That's a great example.
2400.56s:  I like thinking about that.
2404.20s:  I appreciate you giving me something to noodle on.
2409.20s:  That's a fun one.
2412.00s:  Cool.
2413.76s:  Off-Poon says, or biotech stocks, that skyrocket between because phase one results are mildly
2422.64s:  positive.
2423.64s:  That's, I wouldn't call that inefficiency.
2427.40s:  The reason why I wouldn't call that inefficiency is because there's a clear compensatory risk.
2434.72s:  If you get those phase one results and they're not good or they're not well received for
2438.00s:  any reason, that same biotech stock is going to crater.
2441.64s:  Now, again, the inefficiency that applies to biotech is volatility risk premiums.
2450.32s:  Volatility risk premiums, because I trade them in biotech all the time.
2453.12s:  It's one of the best places to find them.
2455.56s:  They still generally in the aggregate will overcompensate for the periods that it doesn't
2461.72s:  work, but that's more an volatility perspective versus a price movement perspective.
2468.60s:  Lordopcans says, we both define covered options differently where there's more than one leg.
2473.84s:  Yeah, that's okay.
2474.84s:  Well, it's not, again, it's not more than one leg.
2477.68s:  For that example, Lord's Lothable, you're referring to like verticals so like an offsetting
2482.88s:  leg.
2483.88s:  For example, if I sell this put and then buy the further out of the money put, right?
2490.16s:  So it's not as simple as more than one leg because here's an example of two legs.
2495.56s:  If I sell that put and I sell this call, I now have two legs.
2501.96s:  This is not covered.
2503.36s:  This is a short strangle.
2506.44s:  So I can lose both sides.
2511.40s:  Lord's Lothable says single can be covered or naked, but the covered option has a strike
2515.60s:  and a hundred shares.
2516.60s:  Yep.
2517.60s:  So in that example, it's automatically for the covered call side of the things.
2521.28s:  It's automatically pulling in a share equivalent, right?
2525.44s:  Which is what we talked about in the example earlier for what would define a covered call.
2530.20s:  Right?
2531.20s:  So we'd have a short call long shares.
2532.44s:  So yep, that makes sense.
2535.16s:  But I would just say it's definitely not defined as more than one leg.
2538.72s:  That's incorrect.
2539.72s:  I can have multiple legs, right?
2542.08s:  I can sell this 34-delted put, 26-delted put, 18-delted put, 13-delted put, 9-delted put.
2550.28s:  Okay.
