0.00s:  Great success.
326.28s:  And then there was another one that popped up on the list.
331.32s:  It wasn't Cape Crow.
334.32s:  Here, soda was another one.
340.28s:  And then there's another spot that was somewhere along this coast.
345.84s:  I don't remember where.
349.28s:  Naples.
350.28s:  That was it.
351.28s:  Naples, Naples.
352.28s:  That's the other spot.
354.28s:  But it's a little too flat for Mel, rightfully so it's a little too humid for me.
360.72s:  So it looks like it's probably not going to be our bag.
364.36s:  All right.
365.36s:  So let's grab the DD library that we ran last time.
373.32s:  And this.
376.36s:  And I think I actually spoke about splitting this to be able to run the AI assistant.
382.16s:  I'm going to see what the size this feature only supports files with less than 600 pages.
388.44s:  So I think what I'm going to do while we're here for a second is edit this file.
395.88s:  I'm going to split it into two.
398.84s:  And this way we can use.
402.08s:  We'll be able to use the AI tool that's built in, which I think will be really useful.
410.16s:  Because the way that we're doing it now where we're copying, pacing it to chat you,
413.08s:  PTs just a little bit slower than I think it should be.
418.36s:  Extract pages as separate files.
420.16s:  I don't want to.
426.60s:  You have to, I guess that's.
431.32s:  Let's split it up.
432.96s:  Something around 400 pages will take off.
437.36s:  Split it up to here.
441.56s:  And then.
443.56s:  Yeah, 409.
444.92s:  That's perfect.
448.56s:  Extract these.
452.80s:  Perfect.
453.80s:  So it did that super fast.
455.00s:  That's awesome.
456.00s:  This is great.
457.00s:  So this will just take me a second to get it all set up.
461.20s:  And then this way we'll be able to actually run it through the AI.
463.76s:  I just think it'll be a little more efficient for us.
468.20s:  This will work fine.
471.56s:  This will be diamond handbook part one.
479.68s:  And that took us to 409.
480.92s:  So now we take 410 to the end.
484.60s:  Extract.
489.24s:  Literally beautiful.
493.76s:  And this is where we have our stop point from the seventh, which is last week.
499.20s:  This is great.
500.20s:  So we have everything that we need.
501.20s:  This is beautiful.
503.20s:  We'll save it here with the other one.
508.60s:  This will be.
510.72s:  Diamond handbook part two.
516.08s:  Lovely.
520.44s:  And now we should be able to run AI with it, which I think will be really useful for us.
529.16s:  Cool.
533.00s:  So that's all set up.
534.88s:  What I want to do is talk to you all about Max Payne.
539.56s:  And then we also should talk about whether or not we think.
544.60s:  Greg is wearing kitty or not.
546.76s:  That's another thing that's popped up.
548.72s:  Let me grab X.
553.00s:  And I found this a couple places.
557.60s:  If I can find it.
563.12s:  I don't know the dude's name.
564.44s:  It's like a really long name.
566.40s:  I'm just going to see if I can search Greg.
567.92s:  If it'll pop up.
574.80s:  Okay.
576.80s:  So I guess we can start with this because this is even faster.
582.76s:  So if you guys haven't heard, there's a dude on the internet, Greg, this whole thing.
590.96s:  And there's recent conjecture that key and roaring kitty might be the same person.
601.84s:  And it's stemmed from, correct me if I'm wrong.
604.08s:  You guys as always will know more about this stuff than I do.
607.12s:  I am way more plugged into the trading side of things when it comes to the more folklore,
613.32s:  whatever we want to call it, the inner workings and the qualitative stuff.
618.40s:  I think I am grossly, grossly under equipped.
627.72s:  But this is popped up.
628.72s:  I think this stemmed from somebody that tried to follow, I think, Greg.
634.08s:  And then the thing popped up saying that they followed roaring kitty.
639.08s:  And then there was another thing about, I can't remember if it was like a picture of like
650.00s:  where they were from.
653.36s:  Let me see if I can own a search it for it specifically.
656.64s:  Greg, Brian kitty, I think these posts will.
681.88s:  Some reason I can't find them now.
683.76s:  This is fascinating.
685.24s:  I literally can't find them.
687.36s:  I was trying to find the posts.
691.24s:  That's really interesting.
692.64s:  Let me see if I go through Greg's stuff.
694.36s:  I think there will be probably comments people will have made.
698.60s:  And we can find it that way.
704.44s:  No, no.
708.64s:  This is hilarious.
718.64s:  I don't know if you guys saw but Trump posted this, just the fact that fucking, whether you
725.48s:  like them or not, the entertainment is about to start up again.
736.16s:  Maybe it would be under replies.
740.32s:  Do you guys know what I'm talking about?
746.80s:  DCM says I don't think Greg is RK higher chance.
750.04s:  It's RC but I don't think that one either.
754.00s:  Man, I might be going crazy.
760.84s:  Rointitty, yeah, what up, Rointitty?
762.24s:  Rointitty says, um, no.
763.68s:  Okay, so quick recap.
766.48s:  There was a series of posts on X by different people that were speculating that Greg is
776.16s:  Rointitty.
780.12s:  And I'm trying to find those posts.
784.16s:  Fortunately, my feed typically isn't that busy because I don't follow a lot of stuff.
790.96s:  So I might be able to dig it up.
797.00s:  The 4U thing is always terrible.
801.32s:  No, no.
817.72s:  I'm just scrolling through the feed.
819.36s:  I mean, if you guys want to scroll through it with me or there's nothing in here, you're
823.52s:  able to.
824.92s:  But it was from some time today.
834.68s:  I'm assuming it's from the 4U.
842.20s:  You're portation's cancel.
851.00s:  Search Greg and Rointitty.
854.08s:  Just like that, I'll try that Greg.
857.08s:  Greg and Rointitty.
861.68s:  Okay, thank you so much.
869.28s:  Lauren, that's super, super helpful.
870.76s:  This at least gets us on the right target here.
874.16s:  So whoever this is, I don't know this person, but they say they're making a joke about the
878.16s:  timing.
879.16s:  Yeah, here we go.
880.16s:  Finally.
882.40s:  I think this is the one that I saw.
885.56s:  This is the one that I saw.
886.64s:  Perfect.
887.64s:  I don't know who this is, but.
894.68s:  Let's see what the comment says this, whoever this is aligns with whoever mentioned this
899.80s:  in the chat, somebody up above was saying they think it might be RC.
923.76s:  I can confirm.
930.76s:  Oh, whoa, this is like the perfect meme.
935.20s:  Yeah.
936.20s:  So anyways, this is the exact one that I saw though, because I could tell this one moved
940.88s:  a little more widely.
943.84s:  But yeah, anyways, it doesn't really look like there's much, much to it.
952.24s:  And Tatus says Chuck is super wholesome and funny.
954.44s:  Good follow for anyone and ex that's hey, let you heard it from Joe Tatum.
959.08s:  So follow the dude if you're so inclined.
961.76s:  I'm really, really, really methodical about who and what I follow.
966.52s:  I don't, I don't like the vast majority of social media and I don't really track what
972.36s:  other people are doing.
973.48s:  So most of the stuff that I tend to follow are information sites of some sort.
981.24s:  But yeah, I think follow away if you guys like his stuff.
987.20s:  So that's red.
991.36s:  Raintid he says, but where are the Greg posts?
993.28s:  I'm only seeing Chuck Hodle.
994.72s:  I don't think it's from Greg.
996.44s:  I think this is this is Greg joking about it, right?
999.96s:  I am not a cat.
1001.92s:  And this is somebody saying you're the first person slash cat I've subscribed to.
1006.20s:  So he's obviously slightly involved in the joke, but it looks like he's not directly
1017.18s:  discussing it beyond this.
1019.04s:  Let's see what this post has.
1021.04s:  Don't lie, Keith.
1022.56s:  If there's any responses.
1036.20s:  Somebody named roaring Murphy.
1041.16s:  Feel like growing Murphy would be the authority here.
1049.16s:  SP Norwell says Greg is the only other account buck the bunny follows other than GameStop.
1055.00s:  I honestly don't know who that is.
1057.16s:  So I don't know what that what that connection means.
1059.52s:  But if that for other people.
1064.32s:  Raintid he says, oh, so the tinfoils that Greg is RK and undercover talking to Cohen that
1069.76s:  way.
1070.76s:  I don't know if he's if they're inferring that he's talking to Cohen that way.
1073.28s:  I didn't see that part of it yet.
1075.48s:  I just think that people are joking that Greg is roaring kitty.
1079.92s:  I didn't see the implications beyond that.
1084.64s:  SP Norwell says it's GameStop's mascot account.
1087.52s:  Oh, interesting.
1089.24s:  I didn't know that.
1091.04s:  Let's take a look at that really quick.
1094.00s:  You said it's called buck the bunny.
1096.44s:  Buck the bunny.
1104.84s:  Wait, this thing.
1109.32s:  Is this the right page?
1112.84s:  It's the GameStop.
1113.60s:  Why is nobody following it?
1118.52s:  Can you say this?
1120.12s:  Okay, so this isn't the right one.
1123.24s:  Okay, thank you.
1124.04s:  I was going to say that just doesn't sound right to me at all.
1127.24s:  That's the problem when everybody tries to be like a fucking doppelganger for stuff.
1131.84s:  So frustrating.
1132.84s:  Buck the bunny.
1137.92s:  This makes more sense.
1140.20s:  And what's the history of buck the bunny?
1153.32s:  Was it a, oh, so it was like a toy?
1166.64s:  Old mascot resurrected.
1168.56s:  So did it start as the mascot of GameStop or was it something that existed and then they
1175.24s:  decided to make it the mascot of GameStop?
1181.68s:  What's the origin of you?
1183.28s:  Where do you, oh, there's Greg.
1187.72s:  That's kind of funny.
1193.36s:  GameStop made a short video about it.
1195.16s:  Okay, so.
1199.32s:  This is from 16.
1207.72s:  Interesting.
1214.64s:  Well, it looks like he's back.
1219.96s:  Well, the bunny's back.
1220.92s:  Cool.
1221.92s:  Well, that's kind of interesting.
1222.96s:  Well, anyways, for those that didn't know, and this is just a thing I've,
1228.32s:  I've noticed going around, I still don't really know what to, what to make of it.
1232.80s:  It, to me, it just seems like people kind of having some fun, but I have been noticing this
1239.40s:  is a conversation point.
1241.04s:  So now let's take a look at Max Pan.
1248.68s:  And I need to grab a couple of things here.
1259.32s:  This one.
1270.00s:  Hey, that's actually really cool.
1274.00s:  It might be because I'm on my browser.
1281.60s:  It's probably less, less impressive.
1284.44s:  Well, anyways, for those that are wondering, I'm Google searching Max Pan.
1288.32s:  And the thing that I thought was really cool is when I scroll down, this is my video.
1296.00s:  But it's probably because I'm signed into my thing, you probably wouldn't catch this year.
1301.76s:  Cause I don't think I'm, I'm front page of Google literally for anything.
1307.44s:  Living that peasant life.
1313.16s:  Let's take a look at this.
1316.24s:  So.
1318.76s:  Lauren is Lauren is laughing at my search result.
1325.16s:  I thought I've listened man, maybe one day, maybe one day.
1331.72s:  All right, let's read this.
1332.96s:  Max Pan theory popular among retail investors postulates that options, expiration, the price,
1339.04s:  the underlying stock converge to the stock price at which the aggregate total payment
1343.80s:  obligations of store position is the lowest.
1346.40s:  This is under the assumption that the market maker is the counter party to the trades.
1353.60s:  And that most trades are bought to open.
1357.56s:  That's the assumption.
1360.48s:  I have, as you saw in those Google results, I do have a video that talks about Max Pan.
1371.12s:  And it reviews a bunch of the research.
1374.28s:  I don't want to spend a ton of time on it, but I do think the close from Friday is at
1380.52s:  least worth a discussion point on it.
1383.72s:  So I'll slide this out of the way just for now.
1387.24s:  And we can see that we closed that 2799.
1390.84s:  So here's the, the world of Max Pan at a high level.
1401.24s:  It's very difficult to prove there's a lot of research out there that points in different
1408.36s:  directions.
1410.00s:  This isn't research that's done by market itself.
1415.00s:  It's typically done by different kinds of schools and educational institutions.
1420.60s:  And they see slightly different things from a logical perspective.
1427.00s:  There is an incentive there.
1429.68s:  And any time there is an incentive in financial markets for potentially somebody's benefit,
1438.84s:  you have to take it seriously, I think, because the only reason why all of us are in markets is to make money.
1445.48s:  So all of that being said, there is a propensity for options to somehow
1456.40s:  draw the price of the underlying
1460.80s:  where Max Pan exists.
1463.88s:  Now there's a couple of things to know about Max Pan.
1468.84s:  Let me see if I can grab it.
1471.00s:  I think it's from unusual wails.
1474.08s:  I think they have a tool for that.
1481.64s:  Let me see.
1483.68s:  No.
1486.52s:  No.
1493.80s:  I'm looking for the specific plots that I'm trying to find.
1504.00s:  No, no, no.
1508.80s:  No.
1511.36s:  No, I think it's on here, my bed.
1516.76s:  Here we go.
1520.76s:  Might be here.
1523.36s:  No, these are just the Greeks.
1526.36s:  I mean, you could do Delta exposure or something.
1538.36s:  I don't know if this thing does Max Pan does it?
1541.36s:  I thought it did.
1546.60s:  But I'm still getting used to the tool.
1554.12s:  This just looks like the chain itself.
1557.76s:  There's a website that does.
1562.76s:  That does Max Pan by itself.
1565.08s:  Max Pan.
1566.76s:  This website.
1567.84s:  And I think most of you guys are familiar with this one.
1571.76s:  Of Rointit says we've been saying that for a while.
1574.24s:  Yeah, no,
1575.68s:  this isn't new ground.
1577.40s:  There's an important point behind this though,
1579.96s:  because one of the things that retail traders I find tend to do is they automatically
1587.20s:  think Max Pan is causing essentially all movement around expiration.
1594.76s:  And the problem with that is a few things.
1597.76s:  So first things first,
1600.08s:  if we take a look at these different strike prices,
1604.24s:  one of the things that's going to happen naturally in the options chain as time passes
1610.80s:  is we are going to ebb and flow where Max Pan is.
1618.20s:  Max Pan is not static.
1620.72s:  So Max Pan is almost always going to be near the money.
1625.40s:  Almost not always, but almost the reason is because that's where options are most liquid.
1631.84s:  And that tends to be where traders are transacting are front expiration near the money.
1640.20s:  So it creates a near self fulfilling prophecy where stock price tends to follow around,
1648.44s:  move around where Max Pan seems to be,
1652.32s:  but the options market is moving in the background also trading around where stock price is.
1661.24s:  So the important element here is to know Max Pan is not static.
1667.48s:  If we take a look at Max Pan today and we track it against what it is at expiration,
1675.36s:  it will be different.
1678.04s:  That's an important no.
1681.16s:  Pretty much half to track it.
1683.76s:  So this would show Max Pan.
1687.20s:  That's kind of hard to tell.
1688.72s:  It's so skewed. That's actually really interesting.
1690.80s:  How skewed it is.
1695.08s:  Does this show.
1699.40s:  That's kind of a bummer.
1700.76s:  It would have been, I thought they had a thing that showed it like day by day.
1703.68s:  That would, I think, be really, really helpful for people to see like how it moves.
1708.64s:  But Max Pan will move.
1711.00s:  Now that part aside, the other element to know for the market making perspective
1718.56s:  is market makers have the ability to move price.
1726.64s:  How much is difficult to say?
1730.16s:  It's very difficult to quantify.
1733.24s:  In order for them to move price,
1736.56s:  options do not lead the market.
1741.60s:  Options are derivatives.
1744.48s:  The value of an option is derived from the underlying.
1750.80s:  But options positions depending on who holds them,
1755.92s:  sometimes will include hedging activity that includes the underlying itself.
1762.32s:  So that line becomes muddled a little bit.
1766.52s:  So when we have a stock in a situation like GameStop,
1773.84s:  and we have the ability for the stock to either land at 28 or 27.99,
1780.92s:  literally a one penny difference.
1784.28s:  A market maker or group of market makers might be able to force price down
1793.96s:  by selling a bunch of shares just to dip the price down a little bit.
1801.36s:  It's easier said than done.
1803.80s:  And it's more applicable to smaller price movements.
1808.00s:  One of the things I see people say is, oh, they didn't want it to land in 30.
1812.88s:  So they pushed it down from 30.
1815.52s:  I'm not saying whether they did or didn't.
1816.92s:  I couldn't prove it to you either way.
1818.92s:  That's why I wouldn't say whether they did or didn't.
1821.44s:  I don't know.
1823.36s:  But what I can tell you is the further away it is,
1827.56s:  the harder it becomes for an entity to try and manipulate price in that way,
1834.64s:  because if market consensus is for whatever reason, market consensus thinks the stock
1839.44s:  should be 30.
1840.68s:  And then a group of market makers start trying to offload and sell shares or whatever they
1844.80s:  can get their hands on to try to drive price down.
1847.20s:  But the market's like, wait a minute, this is easily worth 30.
1850.32s:  I'm going to buy it here.
1851.36s:  I'm going to keep buying it here.
1852.40s:  That will add buy side pressure to counteract that push down.
1856.88s:  There's a limit to how far price can be manipulated in this way.
1861.72s:  When something is moved by a penny,
1866.36s:  that's not that fucking hard to do.
1868.92s:  It's very, very realistic.
1871.96s:  If the stock could have closed at 28 versus 27.
1875.96s:  99, I absolutely would expect there to be a large group of interested participants,
1884.84s:  market makers, that would rather see this at 27, 99 versus 28.
1890.60s:  That is not as big of a move that they need to try to facilitate.
1895.56s:  And here's what I mean by this.
1898.76s:  If we take a look at the daily volume, the daily volume was
1904.60s:  6.8 million shares.
1907.00s:  Let's grab our little,
1910.20s:  a little dude ad here.
1915.08s:  So 6.8
1921.64s:  or 6.5, sorry.
1924.44s:  6.581.
1926.28s:  6,5886.
1931.16s:  And then let's just say that the mid price on this around would be
1937.08s:  28 and a half, something like that.
1945.80s:  We can calculate what the total value is that moved on the day.
1950.36s:  This is essentially just a V-wap.
1953.08s:  So 6.5, 81, 586,
1957.80s:  times 28.5.
1961.32s:  187,577,201.
1965.80s:  Now, that's the total amount of volume on the day.
1970.60s:  With smaller stocks like this, moving this from
1977.88s:  28,
1981.40s:  27,99 is a pretty small move.
1985.32s:  So even though the total volume on the day, let's just call it,
1988.52s:  it was 188 million in terms of price and value.
1993.80s:  In order to move this by a penny,
1997.08s:  it still requires a subset of this and not an insignificant subset of this.
2003.64s:  We can actually do the math, but it doesn't matter quite that much.
2006.76s:  The point to be aware of is that market makers are incentivized to have more options
2012.44s:  expire worthless.
2014.36s:  If there's a way for them to collude together or with other entities to drive price down
2020.84s:  by a penny, which is the difference between several thousand
2025.32s:  options expiring in or out of the money, they're incentivized to do so.
2030.60s:  This also is not a big gap to cross.
2035.00s:  Very plausible.
2035.96s:  Again, we can't prove it and that's important to reiterate.
2039.32s:  I don't know.
2040.44s:  I can't prove it.
2041.48s:  I have my suspicions, but I can't prove it.
2045.32s:  So I don't know.
2046.92s:  That being said, there's a difference between this scenario and then the people that say,
2053.08s:  well, it should have been at 30, but market makers manipulated it down to 27.99.
2062.12s:  This becomes a big gap to cross because still it's doing 200 million in volume on a day.
2071.48s:  And again, I'm not saying that it couldn't be done, especially if it's broader spread
2075.56s:  collusion and stuff like that easier to detect.
2078.76s:  There's a lot of risk involved in doing that, especially if they're trying to short it,
2083.56s:  and then there's some sort of meteoric rise for some reason or another.
2088.52s:  So this just becomes a taller task is all I'm saying.
2094.20s:  So when we have the conversation around, oh, obviously it's being manipulated for Max Payne,
2101.40s:  there's two things I always want you to remember.
2104.44s:  Closer prices are more accessible to manipulate. Max Payne moves.
2113.96s:  You should be aware of those two things.
2116.12s:  Then whether or not you think manipulation is happening and how to what degree and how far,
2120.76s:  obviously that's all up to you to decide for yourself.
2125.24s:  But you should know those two data points when we look at this stuff.
2128.84s:  Brick and the wall says are there other stocks where this sticks out as much as GME?
2132.84s:  I would actually argue that there's stocks where it's much worse than GME.
2136.20s:  GME is still a pretty big stock.
2138.60s:  So it's doing 200 million total volume in a day.
2143.48s:  If we take a look at total shares, it's 446, I don't know what the current market cap is,
2150.68s:  446, 800, 365, times 27, 99.
2161.64s:  So it's a 12.5 billion dollar company.
2165.56s:  That is not a small stock.
2169.64s:  Where Max Payne and stuff like that becomes really, really pronounced is in small stocks
2176.76s:  because it's much easier and more accessible for market makers to manipulate the price because
2184.36s:  they don't have to use as much total money to do so. GameStop, I think, gets the
2192.44s:  focal point of it because people are looking at it a lot.
2196.60s:  And people are obviously highly, highly interested in the company and the stock. They know about
2202.52s:  market manipulation. So I think that this gets hyper analyzed to that extent.
2209.88s:  When we analyze studies like this, you'll actually notice that there are certain gaps
2217.80s:  in like market cap that are more susceptible to this versus not.
2224.52s:  And the way that they track, by the way, which is ingenious, the way that they track whether or
2230.04s:  not they think in this study is they use a reversal pattern. They say coming into exploration on
2236.52s:  expiration day, what happens to the stock price and then what happens on Monday after Friday?
2241.48s:  Does the stock price immediately rebound up? And then they're using that as a proxy for it being
2247.08s:  manipulated down and then value resumes to the upside. Completely reasonable proxy.
2253.88s:  It's still not perfect though. And I want to be abundantly clear. I am not
2261.72s:  saying it doesn't happen. I'm not saying it does happen. I'm just talking about the phenomenon
2266.52s:  in a vacuum so that people can come up with their own conclusions. That's all I'm doing here.
2272.36s:  Sometimes when I talk about these things objectively, sometimes people will
2277.80s:  sometimes people will think that I'm trying to argue or debate another side of something.
2283.00s:  So yeah, I can grab a, well, the link to the study that I have won't take you to it because it's in
2293.48s:  open browser, but you can literally just type in SSRN and dump in Max Payne. It'll come up.
2301.40s:  Fischau. So that's the, that's the game of Max Payne. There's absolutely a reality. There's
2312.92s:  absolutely an incentive behind it. But that being said, even if we track something like dollar
2319.32s:  delta and whatnot, it'll have, it'll have a different view as price moves. Because as price moves,
2327.96s:  more options are going to be open and closed around different prices. And that's also going to
2334.28s:  interact with Max Payne and whatever Max Payne is. So you can see that where the total dollar
2342.52s:  amount of open interests are. And you can speculate then at those price levels, what might be
2352.68s:  a better spot for a market maker to prospectively try to push price down. And again,
2357.80s:  like the 30 strike is clear as 20, well, 30 strike is going to be heavier than the 28s.
2363.64s:  But still the 28s will have something in them for sure. Here. So interesting stuff. But you should,
2372.20s:  I think, generally, be aware of that.
2377.08s:  Samota says it's not, it's not that they can hold on. It's not even,
2382.52s:  oh, look, I'm struggling reading this, Samota, it's not even can they, the cost would likely not
2389.40s:  be worth it. Okay, the size of the position you would have to justify is ridiculous. Well,
2395.24s:  it's ridiculous to a degree. But again, they are highly incentivized. And if they're not expecting
2401.72s:  that they're actually taking a big risk, it's very possible. The problem like we're talking about
2408.28s:  though is that when it's bigger, when it's a big gap, when we're talking about like five dollars,
2414.36s:  that's difficult to attach and assign Max Payne to. And then it looks like we have somebody from
2420.12s:  Bulgaria. Let's get Bulgaria on our map. We just, we got Bulgaria rep in the set.
2429.72s:  It's kind of crazy. Y'all guy, y'all have fucking ZZ's and threes. Like it's normal. This top
2436.84s:  word looks normal. Stara Zagora. And then this version of it is real tricky to read,
2444.44s:  real, real tricky to read. So we got Bulgaria rep in the set.
2452.60s:  Rowan Titty says it's speculated that they do it to prevent gamma squeeze. That's not, yeah,
2459.32s:  I would disconnect those. So them trying to execute something like Max Payne doesn't
2466.20s:  actually. It's completely different than a gamma squeeze. So I would decouple those in that scenario
2476.04s:  because they're definitely different things. Okay. I'm getting caught up.
2487.40s:  Rowan Titty says it depends who the options chain is loaded up.
2495.48s:  Yeah, I would, it depends how the option chain is loaded up. Exactly. That's exactly correct.
2500.60s:  So I would just decouple the concept of Max Payne from a gamma squeeze. They're just different
2505.80s:  functions. They do different things. From a Max Payne perspective, the market makers are absolutely
2512.04s:  incentivized to have as many options expire out of the money worthless as possible, assuming
2516.84s:  that they are the ones that sold the options to whoever bought them, which is a completely fair and
2522.04s:  safe assumption. That's objectively the case. They're incentivized to do something like that.
2528.20s:  So from that function, the purpose of Max Payne is to save them some hedging cost because
2537.16s:  they're not going to make the money or not based on Max Payne. They still made their money.
2543.08s:  They make the money on the bid-ask spread. It's just can they make a little bit more money,
2548.52s:  which they can, which is why they're incentivized to do so. But Max Payne, like the Max Payne has a
2556.36s:  constraint because it requires quite literal collusion in order to push price. Because if you have
2564.60s:  a stock that's doing $200 million of volume in a day, in order for you as the participant,
2572.84s:  in this case, the market maker, to try and push the price down, you're going to have to put up a
2579.08s:  percentage of that total daily volume in order to make a meaningful move in the price. So that's why
2585.96s:  smaller moves are entirely feasible. Because it's very expensive and it's a big risk for them to
2591.56s:  carry it. But if it's a smaller move, it's easier to carry that risk. But if we're talking like
2597.32s:  trying to suppress price five dollars as a market maker, that's much, much, much more difficult.
2604.36s:  Much, much more difficult.
2607.00s:  Espionore Wall says, I've seen price move aggressively in the last hour to day to get to Max Payne,
2611.32s:  assuming it was un-hege calls that expire at the close could also be self-fulfilling of traders
2615.24s:  or watch your Max Payne. Yeah, what you're seeing there is a few different things. So what you're
2621.08s:  seeing is typically in the last hour of the day, just like the first 90 minutes price moves a lot.
2626.68s:  The second thing that you're seeing is as the last hour of the day is going, you have to remember,
2633.00s:  Max Payne, come towards the end of the day on expiration day, is going to be close to at the money.
2640.92s:  It's going to be close, more often than not. That's not to say that it's guaranteed, but it's going
2644.52s:  to be close. So then at that point, you have options traders who have options that still have
2651.08s:  some value that they're saying, do I want to hold this in expiration and see if it moves
2656.04s:  in my favor? Do I want to scrap what value I can out of this and roll it into another trade?
2660.76s:  And it's a toss up. They probably want to do both. So you're also seeing traders
2665.72s:  transacting and making decisions about their positioning. So it's not inherently a rush to get
2673.48s:  to Max Payne. It's again, a very intricate system that has a lot of different inputs that are
2680.84s:  doing different things at once. Raintiddy says that's when brokers start auto exercising. Isn't it
2689.24s:  the last hour of the two? No, no, no, no, I don't know. I can't say because I don't know most
2695.96s:  brokers, but do options are settled based on the last closing price of the day. So you don't start
2702.04s:  exercising before the close because you don't know where it's going to close.
2709.72s:  And then Samota says not necessarily collusion. Many people do in the same thing look in the same
2713.32s:  direction, synthesize to move in the same direction. But that's the thing is like the participants
2717.24s:  in the options buyers are not incentivized to look in the correct direction. The reason why I would
2724.12s:  wage your it's collusion more than anything for Max Payne to work is because if you had one market
2730.28s:  maker on any any style of frequency on Friday towards the end of the because everything on
2737.88s:  their books is tracked. It's not hidden. So if you have one market maker that happens to be towards
2744.84s:  the very end of the day selling five million dollars worth of GameStop shares short to push the
2751.88s:  price down a penny, that's going to stick out like a sore fucking thumb. So in order to not get caught
2758.44s:  or to decrease risk of being caught, they have to spread it out between other entities.
2764.52s:  Otherwise, it is a big bright flashing sign that's super, super clear as day. So yeah, I think that
2775.88s:  I think that it's very likely that the market makers would be colluding to some degree. Can't
2780.84s:  prove it again. Can't prove any of this stuff. But
2788.28s:  so then Roy and Titi said, oh, okay, so I already answered that one. Cool. All right, so let's grab
2794.68s:  our handbook. So this is the shrunk down version that we should be able to use AI for now.
2804.60s:  And let me see where we left off. I remember how to do this now. I thought I thought the little thing popped up.
2819.80s:  Oh, over here. I remember how to do this. Don't worry. Don't worry. Relax.
2824.68s:  There's no bookmarks. Here we go. Perfect. So this one we can get rid of.
2834.36s:  And then let's see if we can use AI for this.
2841.24s:  I don't know actually how it works. Let's see.
2847.96s:  All right, so we'll let that start processing and we'll start reading through this.
2854.44s:  Roy and Titi says, margin calls is what I was talking about. I meant liquid
2858.76s:  dations and margin calls at 2 p.m. I honestly don't know. I've never had that done. I don't know what time
2866.28s:  that happens. I would imagine that's a little late for a margin call.
2877.00s:  But I don't know. Yeah, I don't know the answer to that one. We're in Titi and I don't want to give
2882.76s:  you a ballman's or oh, damn, you only get to ask it like two questions. This is terrible.
2890.12s:  Let's see if I can get it to work. Summarize this section.
2899.16s:  If you can do it.
2907.16s:  If not, we already have a proven way to do this. I was kind of hoping that this would work though.
