0.00s:  What's up everybody?
433.92s:  I measure the risk premiums and stuff pretty regularly.
437.92s:  And it is pretty strong risk premiums that this continues to have.
443.92s:  And anything that has big, outsized move potential like this,
447.92s:  that's exactly what it's going to have.
449.92s:  Because somebody is going to inventory the risk on the sell side.
453.92s:  So in order for them to logically hold that position, they have to be compensated for that risk.
459.92s:  But Donkey Kong says, will you be calling in air strikes on these locations?
467.92s:  I don't think so. I don't think there's a need to.
470.92s:  I think it's nice to be able to watch a couple different TVs right from where I'm sitting looking out the window.
478.92s:  One of them apartments is empty in case you want to rent one.
482.92s:  There's a nice opportunity right across from us.
485.92s:  And yeah, I'm waiting to see the interns of the first years at JP Morgan go back to work
493.92s:  because they shouldn't be they shouldn't not be working right now.
496.92s:  This is ridiculous.
498.92s:  I don't know if you guys know, but like if we take a look here,
502.92s:  we're working for JP Morgan, JP Morgan, CEO salary.
509.92s:  Let's see. See, this is the problem.
513.92s:  There's really no way for the CEO, which is Jamie Diamond for those unaware.
521.92s:  The CEO of JP Morgan, his base salary is a mill and a half.
525.92s:  And then his performance based compensation is 34 and a half,
529.92s:  which is five mill in cash and then the rest in equity, which is kind of ridiculous if you think about it.
537.92s:  So in order for him to be able to take home his measly 36 million per year,
544.92s:  he obviously needs the interns grinding away working right now, which they're not.
550.92s:  So very much like that other video that we did, which was making sure everybody's aware of the plight of Citadel in Ken.
560.92s:  Just keep do us all favor and keep Jamie Diamond in your thoughts and prayers as well, because obviously they're not working.
567.92s:  So that's that could hit his 36 million compensation, which is just kind of that's going to be tough to get through.
573.92s:  So I wonder if there's a way to look at what kind of assets he has like I wonder, let me see.
580.92s:  Jamie Diamond as a list, because I'm sure some of his assets will be very public.
587.92s:  I'm curious if he has like yachts and shit like that.
590.92s:  Let's see.
594.92s:  So he has a lot of stock.
599.92s:  It doesn't talk about any real stay specifically and it doesn't talk about any boats.
605.92s:  I still have conjecture that he has.
610.92s:  I think that he has a yacht somewhere.
613.92s:  Why wouldn't you when you have that much money?
616.92s:  I don't see any reason to not hook yourself up with a yacht.
620.92s:  It's kind of like the least to least you could do or at least you can get for your effort.
625.92s:  I don't know how long he's been seeing for this kind of interesting.
629.92s:  So what do you guys make of GameStop so far?
631.92s:  I'm going to grab the library now and we need to get back through here.
635.92s:  We were sorting this by date and I don't remember where we ended.
643.92s:  Do you guys remember you guys told me that there was a couple.
645.92s:  I think this one we looked at the diamond notebook.
649.92s:  Yeah, we've we started looking at this one and I downloaded it.
653.92s:  Yeah, okay, okay, okay.
655.92s:  So let me let me see if I can find this.
661.92s:  I think I should have put it on the my share drive so I should be able to grab it from my laptop.
671.92s:  Let's see.
673.92s:  Are there years?
675.92s:  Yes.
677.92s:  Did you not know that?
681.92s:  No, no, no.
683.92s:  What is the name of this diamond handbook?
685.92s:  Do I not?
689.92s:  This one.
697.92s:  And then this is beautiful.
701.92s:  That's what we love to see.
703.92s:  So now we should be able to go through and naturally kind of take a peek at this together.
711.92s:  Hold on a second.
713.92s:  Push up on my screen.
715.92s:  What's up with the screen?
717.92s:  What does this thing do?
719.92s:  Yeah, okay, cool.
721.92s:  All right.
723.92s:  So.
725.92s:  Okay.
731.92s:  Oh, I upgraded my subscription to Adobe literally for this so that we could use the AI more efficiently,
739.92s:  but it needs to update on the laptop.
743.92s:  So we, I think I left a bookmark right with where we left off if I'm not mistaken.
749.92s:  I got to figure out where the fuck are these bookmarks at this thing?
753.92s:  Here we go.
755.92s:  This maybe?
757.92s:  No.
761.92s:  Nope. This is page 841.
769.92s:  I'm trying to figure out how to find my bookmark.
773.92s:  Go to bookmark.
775.92s:  Nope.
777.92s:  I think that would be great.
779.92s:  But if not, I definitely know that we're somewhere.
785.92s:  Let's see what we got through.
787.92s:  We did this.
789.92s:  We did this.
791.92s:  House of cards for sure is where we were.
793.92s:  We were looking at.
795.92s:  Do you guys remember if we finished House of cards?
799.92s:  Let's see.
803.92s:  And that's kind of annoying that the bookmark thing doesn't work. I thought it'd be easier.
811.92s:  Yeah.
813.92s:  Okay. I remember.
815.92s:  Yep. We were definitely here.
817.92s:  Ken confirmed we were here.
821.92s:  I'm.
823.92s:  Okay.
825.92s:  So let's.
827.92s:  I think if you, if I'm not mistaken, this is one that you guys said we should take our time going through.
831.92s:  And I think we got through most of this because I talked about the DTC.
835.92s:  Yes. See. Yeah. We got through most of this.
837.92s:  PFA says thinking about selling this week and throwing my profit towards my crypto investment.
843.92s:  Well, the way I look at stuff like that is you got to do whatever is right for you as a trader.
847.92s:  Right. There is what we would call an opportunity cost here capital.
851.92s:  So if you have money sitting somewhere that's not doing anything,
855.92s:  not saying that it is there isn't with game stop.
859.92s:  I don't know what your position is.
861.92s:  But if you have money that's not really active,
865.92s:  then you definitely did like it can be earning a return somewhere else.
871.92s:  So the opportunity cost to the capital.
875.92s:  I actually think is an important consideration.
877.92s:  But the other thing is a lot of people think in black or white,
880.92s:  which I don't think you need to.
882.92s:  Right. There's nothing.
883.92s:  There's no rules that say that you can't have a position.
887.92s:  That you scale down and use the money somewhere else and then still maintain some kind of position.
893.92s:  If you are so inclined or if you think it's better to just completely vacate and move out,
897.92s:  like that's also completely reasonable.
899.92s:  But I would always keep in mind that in the world of trading,
905.92s:  you kind of have to execute what's most logical for you is a trader and not get hung up on other components.
913.92s:  Because it's too easy to get stock holding things that aren't doing what you want.
919.92s:  And there is an opportunity cost for that without a doubt.
923.92s:  Like this is how it goes.
925.92s:  The capital could be earning something somewhere.
929.92s:  Okay, so let me go through this really quick.
932.92s:  I'm going to actually dump this into into perplexity,
938.92s:  except it's not scrolling, which is kind of problematic.
941.92s:  That's going to be annoying.
944.92s:  Let's get rid of this bookmarks though because that sucks.
952.92s:  There we go.
955.92s:  I just want to use this to summarize.
958.92s:  And for the so for the prior week, like I said,
962.92s:  I did a video I think yesterday on GameStop and GameStop's movement and whatnot.
967.92s:  So if you guys want to get a recap on like the options and stuff,
971.92s:  because I'm going to be keeping a really, really close eye,
973.92s:  well, I look at it every day,
975.92s:  but I'm going to keep a really close eye of it looking into earnings.
979.92s:  Because I want to see if there's any interesting positioning that starts to emerge from potential earnings.
987.92s:  And then let me grab chat GPT.
991.92s:  I guess here we can use perplexity.
994.92s:  I don't know if perplexity or GPT is, let's try GPT.
1000.92s:  And let's see summarize this section.
1007.92s:  And let's see what it comes up with.
1013.92s:  And then I'll walk you guys through what it's telling us.
1017.92s:  Well, we can learn from here and then we'll kind of dive into it more deeply.
1021.92s:  Here we go.
1026.92s:  We'll put this over here.
1030.92s:  So here,
1033.92s:  it talks about the DTCC.
1035.92s:  We already know all of this.
1037.92s:  We already know this.
1039.92s:  And I mean, I'm sure you guys are familiar with like the different instances of computerized trading.
1044.92s:  Like there's the massive flash crashed literally 87.
1049.92s:  And this was done by I'm pretty sure a commodity trader.
1053.92s:  And then there's like a bunch of different issues when it comes to computerized trading.
1059.92s:  And I think the ape community is actually one of the entities that's closer to that than most people.
1066.92s:  So for those that don't understand the way it kind of works is it's almost like North Korea and South Korea.
1073.92s:  Right. Like they're kind of just sitting there super close to one another staring across looking at one another.
1078.92s:  Seeing what the other one's going to do.
1081.92s:  Now,
1083.92s:  computerized trading.
1085.92s:  It's designed on a preset series of conditions that if they're seen, it should execute and do something.
1092.92s:  Well, one of the problems with that is they start kind of building off of one another rapidly.
1099.92s:  And it can lead to execution that otherwise may or may not make sense.
1104.92s:  But more importantly, it can really increase severity of movement because if there's a ton, a ton of different entities that are running similar style computerized systems algorithms that start to piggyback off of one another.
1119.92s:  This is when you start to see these kinds of movements here.
1122.92s:  And this is actually what like such a prime time example if we go to chewy.
1127.92s:  Right. And there was the period where the cat literally just made that random post this.
1135.92s:  I think I think it was around here.
1137.92s:  I don't know if this is the exact day that he made the post, but he had made a post about it wasn't even chewy.
1143.92s:  Like obviously he was signaling chewy, but it wasn't even chewy.
1147.92s:  He made a post that had like the blue background in the dog face with green eyes, right.
1153.92s:  So most people interpret it that myself included to think that he was buying something.
1159.92s:  But this is algorithms like that's what this is.
1163.92s:  And some people think sometimes mistake the role of algorithms because algorithms are just kind of doing what they're told to do.
1171.92s:  They're not necessarily going out and purposely trying to you know, overstate things.
1176.92s:  I'm sure they would actually prefer to avoid that if possible, but that's just not necessarily the reality.
1182.92s:  And especially as they're building off of one another, they're not going to, they're not going to be as discreet as that.
1188.92s:  They absolutely have the ability to compound, which is one of the bigger again impacts.
1194.92s:  So there's a good part about it, but also it's good in terms of efficiency, but it's not good when things start going haywire.
1204.92s:  It's similar to what is likely to happen with AI.
1210.92s:  And when the terminator comes alive, AI in the beginning is going to be great, super useful.
1216.92s:  Then we're going to have a GI and then we're going to have a bunch of different technology that's like all services accelerators.
1222.92s:  And then all of a sudden it's going to somehow gain consciousness and then try to ruin all of this.
1228.92s:  So make sure that you have your microwaves ready so that you don't fall, fall victim to a robot that would be pretty lame, I think.
1238.92s:  So yeah, I think that that's a great point that this highlights.
1242.92s:  So now let's take a look at some of this because the other thing I remember that we were talking about last time was the way that shares and what not were being held.
1255.92s:  And then yeah, here we go. This was a massive problem. Yeah, okay.
1259.92s:  So I think that we got through pretty much all of that one. Yeah, okay. So here's the bookmark.
1265.92s:  Oh, I highlighted it. That's what I did. Now I remember now that we're here. Look at me go. You guys never mind me.
1271.92s:  Why the fuck would you let me just struggle through that when you guys already knew you guys unbelievable, absolutely unbelievable.
1283.92s:  Lauren says, I guess I'll stop bullying chat GPT. Yeah, you better start learning how to say, please, and thank you to chat GPT because chat GPT is going to be like the little cousin to the overlord soon that you're going to want to gain.
1298.92s:  You're going to want to gain positive favor with. So yeah, I would. I would think that that's the right move.
1305.92s:  Alright, so let me grab this. And again, if you guys know that this is one that we should go through in detail, please tell me.
1311.92s:  And then we can, but in the meantime, I'm just going to grab this and throw it into chat GPT for a summary and see any high level things that draw my interest.
1322.92s:  The reason why a lot of these I kind of bounce through is most of what these are talking about.
1328.92s:  I think most of us generally and already are aware of the case now some of these will have very deep nuance specific points, but I don't actually think necessarily that those deep specific nuance points change a whole lot.
1345.92s:  So I want to see at a high level what this one has for us and then we'll take a look from there.
1353.92s:  Because like this I'm looking at fines and I'm just assuming that they're not that they're highlighting that the fines are nowhere to mention it, which again, that's like one of those things that we kind of already know.
1365.92s:  And it's also a reason why they continue to do these kinds of things, right? It's because if the fines were so excessive that if you committed one, it was a massive problem.
1376.92s:  Then these kinds of companies have the resources to not do that, but I honestly don't think that they care that much because they're not made to care that much.
1385.92s:  All right, so let's dump this in here and then I'll have it summarize this section include all major points and be thorough.
1398.92s:  I don't need it to like summarize that to high level because we're absolutely able to look through this together.
1406.92s:  Let's see.
1409.92s:  PFA says that's why I'm that's what I'm battling. Oh, let me see what you got. PFA most will happen right after you do.
1415.92s:  Yeah, but you can't. Lauren obviously is poking fun, but PFA you can't like you can't make trading decisions like that, right?
1425.92s:  Because again, and this is one of those things that it's not binary as well.
1432.92s:  You're not forced to either have a position in GameStop or not.
1438.92s:  You can still maintain exposure to GameStop and then reposition and something else if it's moving better, if you think it moves better.
1445.92s:  Because here's one thing we've talked about this and I will continue talking about this every single chance I get because I think it's important for everybody to see.
1454.92s:  Every single time GameStop has had a big move it has not just happened overnight.
1459.92s:  There are always lead in periods that then culminate into bigger moves.
1466.92s:  It is never right now we're trading at this point and then the next day we're at this point it's never done that.
1473.92s:  It's always a few day period that you get in order to position and to you know change your structure how you want.
1482.92s:  So I would just keep that in mind when you're thinking about how you want to go about you know maintaining a position in something like this or not.
1493.92s:  It doesn't have to be binary and I would actually take it a step further and say that there's really no reason for it to be binary.
1502.92s:  Let me grab trading view real quick trading view trading view just has a slightly easier way to go back through some of this stuff.
1512.92s:  I think it's this account.
1522.92s:  I honestly forget which account I have the is this right.
1529.92s:  Let's look at GameStop.
1533.92s:  Yeah, that's correct.
1537.92s:  So here's trading view.
1542.92s:  We can open this up a little bit.
1545.92s:  And then let's change a couple of these really fast.
1550.92s:  Let's take this out to a 10 7's a little too short for this example.
1555.92s:  And then let's take this to 60 120 no 180.
1573.92s:  And then zoom this in a lot.
1577.92s:  Because I want you to pick up this point so that it's a little it's a little less burdensome I think.
1584.92s:  Hopefully at least go to the other way.
1587.92s:  So if you look at this period here we obviously we were trading around 11 30 11 60 right so really really tight ranges.
1599.92s:  And there's a couple things that are exceedingly predictable when it comes to perspective movement in GameStop.
1607.92s:  Now I emphasize that point of perspective movement because literally nobody ever knows when something is going to do something.
1614.92s:  But what I can say is that I've looked back through the literally the entire history of GameStop at this point.
1622.92s:  And I've created a lot of different like data slices that analyze movements.
1627.92s:  And you don't even need any of that to eyeball but essentially what I'm talking to you about also I realized that we need the.
1635.92s:  We want these turned on.
1638.92s:  It was one or is like where the fuck are the rest of the ms there we go.
1642.92s:  So you can see again we're we're hovering around in the levens.
1646.92s:  Then it goes to 1181 notice how much bigger the average daily ranges here that's something that we can use to predict larger price movement again even the most recent move it's not that significant but notice what happens.
1661.92s:  We are trending sideways this was around earnings so this will happen we're trending sideways trending sideways then all of a sudden before the move happens volume starts to scale.
1672.92s:  Now again it's not like a massive change but it is absolutely notable we can see it volume here was 2.68 and then it goes to 6 mil this is before we had the big move then we have on the 28th of October volume expand to 13.64 right so what I'm showing you is that even if you didn't bottom tick this which is a fools errand anyways in trading.
1701.92s:  You can still capture the bulk of this move if you're paying attention and putting on good risk or war trades because that's the other way that I look at stuff like this is.
1713.92s:  If I choose to get some sort of entry here right on this exact kind of day.
1721.92s:  It's a low risk trade for me because what I would do in this specific kind of circumstance is if I see game stop popping above what I would consider to be near term resistance which is this right here in this case it's like the 21.66 handle and you don't think of me a break so I got to put out some chapstick it's super dry here and I'm trying not to have my lips fall.
1749.92s:  And so as it breaks above that and as it has expansive volume while it's doing that.
1759.92s:  This is essentially an interesting spot now even if you put a trade on here the way that I look at it is essentially right below what I would consider to be near term support is where the stop goes or you can even use the day of the break out the low of that if it's a false.
1778.92s:  Break out so what that looks like is in this case let's say that we get in and it's trading around 21 and 3 quarters 21.74 and then we have our stop set at the the low for this day leading into it which is 20.73 right so you're essentially taking.
1795.92s:  One point risk you're taking such light risk so the nature of these is being stopped out very frequently and that's okay because when you get stopped out the tiny little losses and then when you don't get stopped out guess what it's a really healthy move so in this case we were risking a dollar give or take and let's again say we got in at 21.78 and now it's trading at 27.90 so we're going to get a stop at the end of the day.
1824.92s:  So you're risking a dollar to make six so it's again this is specifically for pfa to kind of consider and really for everybody else's consumption that there's a lot of ways that you can trade things like this as long as you remember that like your job is a trader is to be mobile right it's to pay attention to things as they move and take advantage of opportunities as they present itself going back to 21 guess what you're going to see.
1853.92s:  Guess what you see before the biggest days here price prices for and change for and change five and change then all of a sudden all of a sudden volume goes from 28.24 mill here it's 59 here it's 25 so volume in here is heavy right 20 mill plus and then all of a sudden here it goes to 500 in 78 million day before which is going to be a lot of money.
1883.92s:  So it's 28 million this essentially takes a move from this is 491 and then the range on the next day high to low was 966 to 501 right so then you essentially can get in at near term prices and then again depending on how you choose to play it follow the trend run your stops this is light years before the big move.
1910.92s:  So the idea that I find a lot of the ape community has it can found me because there's no reason to always maintain a perpetual position unless you want to if you want to that's cool do do whatever fits you best there's no issue with that at all but there's also when people say like molasses tomorrow or you know the big moves always tomorrow or the next day that's okay right like because there's still enough time as long as you're paying attention
1940.92s:  to pivot and gain exposure to that move if you want if you want to move your money around and do different things so I just see that all the time and it ends up yielding capital sitting in accounts not doing anything for really long periods of time.
1958.92s:  And again, if your preference is to have kind of like that fundamental long game stop position just because you like it cool that makes sense but what I try to encourage people is to go into things what I call eyes wide open so there shouldn't be any you know there shouldn't be any component that you're not aware of with respect to the tradeoffs so if we're maintaining positive exposure to game stop in a perpetuity in an attempt to get the opportunity to win this game.
1988.92s:  And then to find a squeeze then the one thing you will solidify is that if there's a squeeze you will be in the trade so that's good right you can essentially create that profile for yourself but if you think that that's not potentially coming at the cost of capital being used otherwise that then can be pivoting pivoted over into game stop well then that's you'd be a little bit.
2017.92s:  So I think that's a very short change in yourself. So food for thought as they says by 1 billion worth of Bitcoin that is something you can do I'm pretty sure Michael sailor is trying that approach right now as it sits so that Lawrence is right now so fine.
2042.92s:  I'm here holding my 5k portfolio up so I'm hanging out right now I'm hanging out for now well the problem with you Lauren besides the fact that you have a gregiously long legs apparently is if you if you aren't realizing profits on those traits and re allocating capital it's not really doing that much for you I wish I had my drawing pad with me I don't on on this setup unfortunately this would be a really helpful thing.
2071.92s:  Can I draw with it be really tough to draw I think.
2076.92s:  Okay I can this is going to be with the mouse so I'm going to do my best but let's say that you have a dollar and then let's say it's worth two dollars so then once it's worth two dollars if you take a dollar out and then maintain the investment of your other dollar up here then
2100.92s:  what you can do with this dollar down here is turn it into another trade what and again I'm using single dollars just for simplicity but what ends up happening is this is a way it's similar it's similar to a concept called Shannon's demon and this is a way that a lot of us will trade things like leveraged ETFs is if you have a leveraged ETF where you earn enough money what you do is you take the excess off so these are profit.
2129.92s:  So these are profits up here you take the profits off you put them into something else and you continue to let the trade work at whatever the decide decided value of it is so the main thing that the main thing to be aware of here is you can use the management of capital to change the risk profile of a trade so going back to the example of Lauren.
2158.92s:  If we have two positions on one in SoFi and one in GameStop so let's grab SoFi which is doing great by the way I'm glad but what I think about in here is how do you draw horizontal lines is that what this is is this is going to be like a million of them no that's like fibs I don't want that you guys already know I don't know to use this thing trend line how do I use you horizontal line there we go so so flies another great way to do it.
2188.92s:  So let's take a look at the example because we can gain entry somewhere down here then is it rallies up and it starts running we can essentially use the lows of the gap for another stop.
2203.92s:  I have to click it each time that's an eye.
2207.92s:  There it consolidates it consolidates then as it gets up here we would set a stop potentially yeah I've got to click it again we would set a stop potentially for a drop below here so on this kind of day we would get out and realize the profit that we've made so far you can either scale out entirely or you can scale out partially then when you get a break above I got to click this again when you get a break above
2235.92s:  this prior resistance line here you get back in you lose the potential profit from here which is 10 78 down to 11 23 so it's less than a dollar that you lose the reason we do this is because if this for whatever reason decided to roll over and just go all the way down then you're not exposed to it you've kept your profits but now you can regain exposure at the original price level that you're in at
2264.92s:  and then you can continue that process all the way up that's the idea of like a trade that works out well not they obviously a lot of them don't go like this but also some of them do and you can find them by being patient but the point I'm making here for somebody like Lauren and really anybody else is that the process of trading around your positions is not just to reduce risk but you can also reduce structural volatility and tap into something that we call Shannon's demon.
2293.92s:  So which is really good for for overall return profiles just for general awareness so now back to GameStop as it as it sits today I want to finish going through this next one really quick so that we can eyeball a few things we need to grab this again and then let's grab this.
2318.92s:  Okay so this is looking at part two of House of Cards so this says financial struggles in a small float of 50 million shares short sellers exploited this by taking short positions exceeding 140% of the flow which is crazy.
2335.92s:  The fact that you can have something that literally is over 100% of the float is not like exactly this right mathematically impossible just doesn't make sense it's absolutely absurd that that can be a thing but it is what it is.
2348.92s:  And then it draws the comparison which I think you guys have done a bunch of times comparing it to the Volkswagen Vd coming in for the Deutschland short squeeze which I guess in 08.
2361.92s:  Porsche reduced the available flow to 1% causing massive demand in GameStop short interest exceeded its entire float highlighting a deeper systemic problem.
2371.92s:  Yeah, naked short setting artificially increases share supply suppressing prices this one makes sense to everybody right like how this works because this is kind of an important important point and why people talk about naked short selling so much.
2384.92s:  Because it does absolutely function as this now help or invasive it is and actually like on a daily basis how impactful it is it's really hard to quantify and measure but it's not.
2398.92s:  It's not something that can be dismissed it absolutely as part of this whole thing of course as my problem has been that I take profits to early profit is profit but I miss out on some larger gains I'm still so new to trade in that I don't view as that I don't mind I'm not.
2413.92s:  That I don't mind I view it more as experienced well anybody in the chat that's familiar with my channel and what I talk about can tell you exactly what you're dealing with there and it's because it is really really common you actually shouldn't be doing that at this point to be honest at least if you watch any of my content because you should be aware of that and the problem with it by now but if not let me grab a video I actually think that there's a video that I just like literally just put out today.
2442.92s:  About this this here and Reese Reese hooked you up so what Reese is talking about it's called the disposition effect and let me grab a study actually let me grab my folder once that you hear this one.
2467.92s:  So this study here I literally reference it all the time for anybody that's into trading even if you're not a nerd like I am you can go on to publication like SSR and and you can just look up different kinds of studies that exist this one's really important because it looks it a really broad sample of investors which is different than trading and you can't be too pedantic with stock market style studies simply because there's not that many of them that are quality.
2496.92s:  And there's two names that you will see a lot you will see Barbara and O Dean both of those guys are are fantastic I've actually had the pleasure of talking to them a couple times on the phone just asking me general questions neither one of them wanted to do an interview but I try to have them on the podcast just because I really respect the work.
2515.92s:  And what you're talking about there Corey is super well studied this right here number two.
2524.92s:  So number two is flag as sell winning investments while holding losing investments known as the disposition effect the reason why I highlight it here is because things that are this widely studied and this well understood they should not be mistakes that we make as traders because this is the same thing is somebody telling you that if you jump off a really high bridge you're likely to hurt yourself.
2553.92s:  Right like we don't need to do that mistake our self to understand that there could be a problem if we do it based on the artifacts of other people doing it and viewing the results.
2566.92s:  The in trading you cannot afford to make all of the mistakes by yourself it is if you're the kind of person that says like you know I have to touch the stove to figure it out you know that the stove's hot well trading is not going to work that well for you.
2582.92s:  It's going to be a giant problem so anyways for you Corey you have to learn about this here because you are exhibiting a really common behavior that most of us do which is called the disposition effect which really just leads to wealth depleting behavior because it's negatively expected in a nutshell.
2599.92s:  So as they says what percent profit do you take it first opportunity which it's a great question but it's the wrong question it's actually the entirely.
2614.92s:  The reason why it's the wrong question is because the way you choose to take profits is completely completely and utterly dependent on what the strategy is you can't pick in our betrayer number it just doesn't work that way I actually recorded a video it comes out on the 14th of December and I'm going to say I'm going to take a look at the
2644.92s:  it's about using stops in trading so that's essentially how to how to select exit points and a big thing that you'll learn in that video is why picking exit points it cannot be random it can't be random and here's why if we go let me grab this really quick and I think that this might help drive this example and I'm happy to talk about it because this is a really really important
2673.92s:  concept for you guys and I actually think I can grab this from here yeah I don't know if it'll keep the forming list does it it does this is fantastic great cool so this is a calculator that I've shown shown you guys before but let's take let's take a just individual trade it doesn't matter and I'm going to take a look at the
2701.92s:  trade it doesn't matter and what I want to show is let's say that you have a system this system right here this is just a perfect example you have a system that has 92 winning trades and eight losing trades so your win rate is incredible right you have a really really high win rate what is this I was wondering why that wasn't working hold on let me see
2731.92s:  well it's because it's locked that's why I was wondering why is this not working this should be this so in this example you have a massively high win rate right so we're winning 92 trades out of with eight losers and your average win size is a hundred bucks because we're taking really small wins in those eight
2760.92s:  losing trades just eight losing trades if you lose on average 1150 you have a what we would call a neutral expectancy you are flat which is not where you want to be it means that you're not making money so what I'm highlighting and somebody might say like oh well obviously you know if you're making a hundred bucks and you lose 1150 why would I let it go to 1150 well it's because the people that find themselves in the scenario they're winning 92% of the time
2789.92s:  that becomes addictive to people so they're willing to have a lower average win to have this much higher win rate and it's misguided so going back to Aziz's question you you can have a system like this that has a profit let's just say that your average loss here is 800 bucks and this is fantastically positively expected and this is fantastic
2819.92s:  I think this let me double check that this is good yep so this is fantastically positively expected over the the life cycle of the system however the problem here
2836.92s:  uncle's sandwich this why did your voice sounds so robust today I think it's because I'm on my laptop so the camera might be the mic might be different is it too loud I can turn it down I actually feel like I'm talking super quiet
