0.00s:  What's up everyone?
304.16s:  margin is what I would consider to be a force multiplier.
309.16s:  So Reese, what you're talking about there,
311.80s:  there's two different things.
313.64s:  There's trading with margin, trading on margin.
317.36s:  However you want to phrase it,
318.68s:  there's kind of different utilization of margin.
322.84s:  And options utilize a specific type
326.80s:  where we're not actually borrowing money.
330.72s:  So let's take a look at an example.
333.96s:  If we take a look, maybe at spy.
339.76s:  And we take a look at the options in spy.
344.52s:  Here is a nutshell of trading with margin.
351.92s:  If I want to open and let's say I want to sell a put,
359.00s:  it's a cash secured put.
360.68s:  So if you don't remember,
362.88s:  a cash secured put is where you sell a put option.
367.40s:  And you're putting up the capital
370.16s:  to cover the options position.
372.28s:  So in this case, that means that you would have to buy 100 shares of spy at $5.52.
380.96s:  So if you're to cash secure the position, it's $55,200.
387.44s:  That's if you want to essentially cash the position.
390.76s:  Now, if I go to actually put this trade on,
394.20s:  and again, this is in a pass through account for me.
396.72s:  So I don't have any positions on in here.
398.76s:  But I think this one is standard margin.
401.88s:  If I'm not mistaken, we'll see.
405.20s:  If we sell a put, let's see what this asks of me.
410.12s:  Just this.
412.68s:  Yeah, so this is for this is a pass through retirement account.
415.52s:  So the margin required here essentially is full margin.
419.72s:  It wants, so this isn't using really any leverage at all.
425.56s:  That's like an example of a cash secure put.
427.32s:  Now, if we go on on demand really fast, and we look at spy,
430.68s:  yeah, this is a great example.
431.84s:  Let me get me out of the way.
434.08s:  I'll go top right.
436.00s:  And if you take a look at the margin required for this trade now,
440.24s:  that we are outside of a retirement account,
443.36s:  which requires essentially posting the full trading capital
447.96s:  for the position in that example,
450.32s:  you'll notice that the margin requirement for the position
452.20s:  is only $16,800.
455.16s:  So what that means is the broker is saying,
459.56s:  this position, it knows what this position is worth
462.76s:  in its entirety.
463.60s:  The broker knows the reason why it's moving,
465.88s:  by the way, is because this is on demand.
467.40s:  I don't want you guys thinking something squarely
469.04s:  is going on after hours.
470.60s:  It's not.
471.84s:  But so what this is saying is in this example now,
475.72s:  the broker requires $17,300.
478.92s:  So even though this position is controlling $55,000 of spy,
484.88s:  the broker is only asking for $17,300.
489.08s:  So you're not actually borrowing any money from the broker
492.36s:  and you very well might have the $55,000 to cash
496.24s:  secure this position.
498.16s:  But in this world of trading options,
501.12s:  you're not borrowing money.
503.56s:  Your broker is just not requiring you to set aside
508.28s:  the maximum value of a position.
510.80s:  They're asking for what we would call a margin requirement,
513.60s:  which is just a smaller subset of the total value
516.76s:  of that position.
517.72s:  And once that's satisfied, then the broker is chill.
520.96s:  They have what they need to cover their risk.
523.60s:  It's important to know that margin moves.
526.08s:  So as the market goes up and goes down,
530.20s:  as the broker perceives their risk moving,
533.96s:  your margin requirement will also change.
536.80s:  It's not a static figure.
539.24s:  So margin is important for a few reasons.
542.72s:  It's the primary modality that leverage
547.16s:  is afforded to you in options.
550.64s:  So let's give another example not using puts now.
554.84s:  And let's take a look at calls.
557.28s:  So in this example, if I wanted to buy these calls here,
562.32s:  the $551, I just picked a random one.
565.28s:  Right now, these are at a $70.
567.36s:  So if you'll remember, every single options contract
570.52s:  moves in 100 share lots.
574.28s:  So this is a one lot, and it comprises up to 100 shares.
579.04s:  Essentially, with this being a $70 delta,
583.16s:  that means that this position currently
585.32s:  is behaving similarly to $70 shares of spy.
591.32s:  So if we were to buy $70 shares at,
594.12s:  let's just use the strike price, for example,
596.48s:  which in this case is $551 times 70,
602.68s:  $38,570 bucks.
604.80s:  That's what it would cost.
606.28s:  If you were to buy the share equivalent of this position,
609.16s:  you have to put up $38,570.
613.00s:  However, if you were to buy the option,
616.68s:  it costs $1,531.
621.56s:  So again, you're not borrowing money here,
624.12s:  but this is the leverage afforded to you through options.
629.12s:  So there's a difference to recap
631.92s:  between trading on margin or trading with margin.
637.24s:  When you are on margin, you are borrowing money actively,
640.84s:  and you have to pay a rate to borrow the money.
643.88s:  If you're trading with margin,
645.28s:  which all options positions do,
648.44s:  in that instance, you're essentially benefiting
652.04s:  from the leverage provided to you,
653.76s:  but you're not actually borrowing any money.
657.12s:  Reese says, if you don't have cash in your account,
660.08s:  can you specify you want to sell a cash secured put
663.40s:  and unmargin' and not cash secured?
666.00s:  If you do have the cash, it's a great question.
669.00s:  So Reese, the follow up to your question
670.92s:  and for anybody else wondering what we're talking about now,
673.84s:  Reese is asking, can you tell your broker
676.84s:  if you want to sell your cash secured put on margin
679.68s:  and not cash secured?
681.08s:  The broker is going to default to unmargin.
684.60s:  So if I have a marginable account,
687.12s:  again, this is a pass through IRA,
689.68s:  so it automatically requires full cash secured.
692.24s:  So if I go into on demand and we look at this position,
698.48s:  what day are we?
699.32s:  I'm actually just curious what this is.
700.48s:  Oh, this is looking at the first of July, this month, cool.
704.12s:  I don't know why I find that cool, but I do.
706.04s:  So if we're to look at this fake trade,
708.92s:  the, let me, might still out of the way,
712.88s:  yeah, okay, I'm still top right good.
714.68s:  So if we're a little look at this fake trade,
717.20s:  the margin requirement to put this trade on is $15,477.
724.68s:  That's the default.
726.08s:  So if you have a marginable account,
728.68s:  the broker, depending on the permissions you have,
731.96s:  I should clarify, because there's different levels
733.72s:  of options permissions.
735.48s:  So if you have like the highest tier,
740.88s:  I honestly don't even know what they go up to anymore
744.20s:  or what those actually look like,
745.68s:  and I just realized this is like now.
750.80s:  One second.
751.64s:  I just realized this thing like totally cut my head off.
773.52s:  There we go.
774.72s:  There we go.
776.52s:  I think we're getting back at it, team.
780.28s:  I think we're getting back at it.
783.92s:  All right.
785.76s:  How did the back of the computer look like by the way?
788.64s:  I had to like reroute the cable really fast.
792.84s:  Back to the question though,
795.76s:  the broker will automatically essentially just use the
801.00s:  margin requirement for the position.
803.84s:  They do not care if you want to cash secure it,
807.36s:  you would have to notify them yourself
811.08s:  that you want to cash secure the position.
814.36s:  That's essentially how it would work.
817.00s:  So the beautiful part about that is the broker
820.12s:  is automatically giving you the benefit of the doubt.
823.48s:  The negative side to that is then you have to have good
827.04s:  accounting if you're looking to track cash secured
829.96s:  positions versus non.
832.16s:  The broker doesn't do that for you automatically.
836.48s:  So Reese, let me know if that answers your question.
841.28s:  Ruda Bega says,
843.64s:  how do you tell if an option is currently cheaper,
845.48s:  expensive to buy?
846.28s:  That's another great question.
847.92s:  So for this one,
849.44s:  there's a couple different assessments you can use
852.08s:  in terms of determining if an option is cheaper,
855.00s:  expensive, there's one primary input we care about,
857.52s:  which is volatility.
859.52s:  So there's a couple of things you can do to look at that.
862.48s:  So let's take a look at,
864.64s:  let's find a random stock,
868.12s:  something that we don't know much about.
869.68s:  I'm just gonna go into this scan and pick something.
873.92s:  Walmart, most of us know about Walmart.
878.04s:  I don't really know what's going on in here.
879.36s:  We'll get a sense of it.
881.16s:  And let me zoom us out to like a six-month daily,
884.44s:  something like that.
886.48s:  And,
890.00s:  Reese says, thanks so much,
891.28s:  Margin's son of like running up a credit card
893.28s:  and as a fellow poor kid,
894.56s:  always seemed like a trap to me.
895.48s:  It's actually hilarious, you say that,
898.12s:  because I always struggled massively
902.32s:  with the concept of borrowing money
906.32s:  from a broker to put on more trades,
908.24s:  like that kind of leverage terrified me.
910.84s:  So I essentially would very rarely,
914.08s:  very rarely use Margin.
916.80s:  It's, I totally identify with you.
920.32s:  Rudebega, back to your question.
923.00s:  So let's figure out if these options are expensive or not.
927.84s:  What do you guys think the first thing
929.68s:  I'm gonna look at now on the platform?
932.56s:  You guys have any ideas?
935.00s:  There's a couple things that I will look for.
939.28s:  And the goal is to figure out how expensive these options are.
946.84s:  So what can we do to figure that out?
949.16s:  We can start with a broad assessment,
952.24s:  which is what we're gonna start with.
954.16s:  And then we can get more into specifics.
957.08s:  Pat says, oh, I, it's a great idea,
959.48s:  but that's not correct.
960.96s:  Oh, I, which is an option's open interest,
963.56s:  that's not actually gonna tell us
965.56s:  if something is expensive or not.
969.08s:  Benoit and Reese are on it as well as Eddie.
973.08s:  Both of those groups are on it.
976.48s:  So you guys are right on top of it.
979.80s:  Peter says implied volatility, which is good.
985.92s:  What a hell of a name.
988.24s:  I am now the biggest fan of this new name,
991.60s:  which is overmoicin' meatloaf.
994.96s:  It's fantastic.
997.04s:  Is the golden shower crossover?
999.56s:  No, that, you know, I tell you what,
1001.20s:  that sounds like a hell of a crossover though,
1002.96s:  but that sounds also like a crossover between trading
1006.96s:  and some other endeavors.
1009.32s:  But no, it's not that either.
1011.44s:  So we have a couple ideas stemming from implied volatility,
1014.48s:  which is perfect.
1015.40s:  Benoit is on it, Reese is on it, Eddie is on it.
1018.88s:  Those are all correct answers.
1021.44s:  So Reese is saying versus HV,
1023.92s:  I would delete that part Reese
1025.80s:  because that doesn't help you.
1028.12s:  The first answer of IV is much closer to being correct.
1030.96s:  So let's take a look at it.
1032.76s:  If we go back to our options pricing model,
1037.40s:  I started building this deck for you guys,
1041.20s:  which is funny because I never use slides.
1044.12s:  I don't like them very much,
1045.36s:  especially for my time as a consultant with Deloitte.
1048.44s:  I don't really like to spend a lot of time in them,
1051.28s:  but this thing is starting to become a bear.
1054.28s:  I'm using it to kind of have all of the stuff
1056.44s:  we need in one single spot.
1058.88s:  So anyways, if we go back somewhere in here,
1061.56s:  we have pricing models here.
1066.48s:  So when we look at an option pricing model,
1070.16s:  and let me maybe make this bold, maybe underlines,
1074.16s:  what's a little easier to see,
1076.16s:  there's a very important input,
1078.24s:  which you could tell I have highlighted,
1079.84s:  which is volatility,
1081.56s:  because all of these things are kind of known
1083.84s:  and they're relative to the underlying at a point in time.
1086.88s:  If we're assessing, if an option is expensive,
1089.72s:  this is what we care about, volatility.
1092.24s:  This is the primary input that will change
1095.80s:  beyond other kind of known standard effects,
1099.88s:  how relatively expensive an option is.
1103.96s:  So if we move this over here,
1107.80s:  and let's take a look first at the implied volatility.
1111.64s:  So for Walmart, the implied volatility is up here,
1114.96s:  26.24%.
1118.48s:  Is that expensive?
1120.08s:  Is it cheap?
1122.92s:  We don't really know.
1124.20s:  That's why I frame it that way.
1126.40s:  It's just a number.
1128.24s:  Implied volatility in this sense
1130.12s:  is just telling us the expectation of price movement.
1134.20s:  That's all.
1135.24s:  So we can't really tell,
1136.72s:  we can't decipher from this.
1138.92s:  If that means that the options are cheaper expensive,
1142.16s:  we don't know yet.
1143.80s:  What we can use is something like
1146.40s:  implied volatility percentile
1148.52s:  or implied volatility rank.
1150.60s:  I much prefer implied volatility percentile.
1154.28s:  It is much less prone to skew.
1158.40s:  And I think that that matters.
1160.56s:  So going off of that thread,
1162.52s:  and I think in here actually,
1164.08s:  if I'm not mistaken,
1164.92s:  we have something in here about implied volatility percentile.
1169.20s:  Valtuity.
1170.20s:  Yeah, here we go.
1172.28s:  Oh, look at, see, I told you,
1173.72s:  this thing is becoming like the ultimate reference guide
1176.92s:  for most things.
1178.80s:  So here, I'm showing you the difference
1181.12s:  between implied volatility percentile calculation
1183.68s:  and implied volatility rank.
1186.16s:  The problem with implied volatility rank
1188.84s:  is based on the way that it's calculated.
1191.48s:  It is very prone to remaining skewed
1194.24s:  when there's a really large move.
1196.48s:  IV percentile is much less prone to skew.
1201.64s:  Because what we're doing is we're taking the current
1204.60s:  implied volatility and we're seeing
1208.08s:  how high it is relative to a reference timeframe.
1214.52s:  And as you guys always know,
1216.20s:  I dime out any time YouTube wants me to insert an ad
1222.84s:  to which we say,
1224.20s:  nay, we do not insert ads for YouTube.
1227.72s:  They probably have not a big fan
1228.96s:  because I'm not making them as much money,
1230.20s:  but whatever.
1232.44s:  I think ad here would also be annoying.
1234.40s:  It is funny though, like it literally does this giant pop up
1237.56s:  and it asks you like a million times when you're doing these.
1240.68s:  It's always like, do you want us to insert the ads free?
1242.76s:  Do you want us to insert the ads free?
1244.00s:  It's I bet they would like to insert the ads for us.
1251.92s:  So to recap so far, we can start with implied volatility.
1256.08s:  Things with high implied volatility
1258.52s:  will tend to be more expensive.
1260.60s:  Even on a,
1264.52s:  on like a broad basis,
1266.12s:  Benoit says there's gotta be an extension to auto dismissals.
1268.80s:  I bet the problem with that extension though
1270.88s:  is it probably also tracks every single personal detail
1274.80s:  that I have, which is not worth me not,
1278.40s:  at least making a small comment about the thing
1281.52s:  when it pops up.
1283.64s:  Manscape Goat says,
1286.56s:  Wait, what's the flavor of the day?
1290.52s:  Oh, right now we're drinking,
1294.16s:  this is actually my wife's preferred one so far.
1297.44s:  We have a straw, I don't know why that would be difficult
1302.04s:  for the camera to see.
1303.88s:  This one is strawberry watermelon
1306.32s:  and then our backup for today is standard watermelon.
1310.68s:  This guy,
1312.44s:  the standard watermelon is admittedly my favorite,
1315.68s:  but this strawberry watermelon is pretty good.
1319.48s:  Still a fan.
1323.92s:  Overmoistened meatloaf,
1325.24s:  this is the hottest stream I've ever seen.
1326.92s:  That's awesome.
1328.12s:  Well, I'm really, really glad overmoistened meatloaf
1332.56s:  that this is really getting your juices flowing
1334.92s:  because I tell you what,
1335.76s:  anybody that gets stoked about options like to that,
1339.92s:  you're my kind of person to be honest
1342.16s:  because this is, yeah,
1344.48s:  I mean, this is, this is my deal.
1346.64s:  This is what I do.
1347.64s:  So any chance to talk about options with somebody else
1350.04s:  that even potentially gets turned on by them,
1353.00s:  I'm here for it.
1354.68s:  So back to this implied volatility on a gross level,
1359.24s:  if it's high, the options are gonna be more expensive.
1361.52s:  So if IV in this thing is let's say 15%
1369.04s:  then if that's compared to something with IV
1372.84s:  that is 54%,
1374.68s:  the 54% IV options are absolutely going to be more expensive.
1381.36s:  Now, when you're comparing within an individual product,
1385.92s:  so in this case, we're looking at Tesla,
1389.52s:  if we compare the price of Tesla relative to itself,
1394.68s:  this means that the implied volatility percentile
1397.52s:  gives us that metric and it lets us know how expensive
1401.32s:  IV is relative to just Tesla.
1404.44s:  And in this case, the options would be relatively expensive
1407.96s:  in general.
1408.96s:  We're still in the macro view, the higher level view.
1414.12s:  So quick recap.
1416.72s:  If IV is high, in general, as a gross figure,
1420.36s:  cross products options become more expensive.
1423.40s:  Implied volatility percentile gives us
1426.28s:  a relative understanding of a product's IV relative
1430.48s:  to itself.
1431.80s:  If implied volatility percentile is high,
1434.40s:  then its options are correspondingly going to be more expensive.
1439.88s:  That's the macro level view.
1443.32s:  Now to get into the micro level view,
1448.16s:  I guess we'll just use Tesla to keep the example going.
1451.24s:  Wow, and it's even better now.
1452.52s:  Check this out.
1453.36s:  IVP is 98%.
1455.92s:  This is actually kind of a cool example.
1457.32s:  Let's bring this back over real fast.
1460.16s:  So in this timeframe when I looked at it,
1464.00s:  IV was 54% with IVP of 58%.
1468.64s:  Now it's 68.4% with IVP of 98%.
1473.40s:  So now options are really expensive on a relative basis.
1478.32s:  Interesting.
1479.52s:  So if we come in here,
1483.60s:  and we take a look at the options,
1488.28s:  let's go first at the expiration cycles.
1492.48s:  So this is, and if you've been watching any
1495.00s:  of the GME videos I've been doing,
1496.60s:  which again, even if you're not necessarily super
1499.72s:  into the GME story as I am, obviously,
1503.00s:  there's still a lot of really good information
1505.56s:  about options, analysis, and general in there.
1508.36s:  So I recommend that you check them out.
1509.72s:  They're not that long.
1510.56s:  It's like 10 minutes and I'm launching
1511.84s:  almost one a day at this rate.
1513.72s:  But one of the things you've seen me look at
1515.80s:  in a lot of them is this.
1518.08s:  This is the implied volatility
1520.40s:  for each expiration cycle.
1524.56s:  So we can see, for example,
1526.64s:  that this 12 July, which was today,
1529.44s:  had 81.66% vol.
1532.20s:  The expiration cycle for 19 July is down to 63.62%,
1537.68s:  but then the next expiration cycle is back up
1540.48s:  to 83.55.
1542.92s:  So what can we infer from here,
1547.12s:  that these options, this chain on a relative basis
1551.72s:  to the product, and specifically to these other options
1555.12s:  chains is cheaper.
1557.52s:  So this is another click down on assessing
1561.72s:  the expansiveness of an option.
1564.52s:  So we now know the macro picture
1566.44s:  from the underlying itself.
1568.24s:  We now know based on expiration cycles
1570.68s:  where I can find cheaper options.
1573.48s:  So in this case, we see these options out here
1576.88s:  are 60.09%.
1578.72s:  They're relatively cheap.
1580.00s:  I think I clicked the, yeah, I got the right one.
1582.20s:  So now there's one final layer we can click into,
1586.20s:  which is the individual option.
1588.72s:  You can find where options are relatively cheap
1592.52s:  or more expensive.
1594.44s:  Now what you'll find first is typically speaking,
1598.16s:  the IV will expand as you go further out and in the money.
1603.44s:  So generally speaking, there will be cheaper volatility
1607.44s:  at the money.
1609.44s:  So with this, you can look for slight anomalies
1613.92s:  and see if there's a period where you can go a little further
1617.72s:  out in time and actually find cheaper IV, like this one right here.
1621.36s:  So as I look at this 25 delta put, notice how the volatility
1626.60s:  leading into that put, I see 56 and a quarter
1630.68s:  of 56.21 and then 56.18 and then it bounces back up
1637.44s:  to 56.32%.
1639.48s:  So these are relatively cheap in this product
1643.28s:  where the expiration cycle writ large is looking at 60% vol,
1647.24s:  you can find 56, I'm sorry, 60% vol,
1651.36s:  you can find 56.18% vol.
1655.28s:  So this is where volatility is cheaper.
1658.56s:  So a bit of a long answer,
1662.40s:  but I wanted to give you guys a bunch of different ways
1665.56s:  of looking at this.
1667.28s:  So let me see.
1672.48s:  Reese says seems odd to have less vol and longer dated
1675.24s:  expiration, the high IV of September should appear in October.
1679.40s:  No, not necessarily.
1680.92s:  It's all based on expectations.
1683.36s:  The other tool that you have is this.
1685.44s:  And we can look at the implied volatility
1688.20s:  for either the average of the options.
1692.24s:  Let me get rid of this near term expiration
1693.84s:  because it's skewing everything.
1695.52s:  And all these crazy lines being all kinked like this
1698.20s:  is actually that's a ton of trading opportunities
1700.40s:  from a Vol trader's perspective, especially this blue one.
1702.60s:  That 19 July, that's nuts.
1705.08s:  If you guys heard a 19 July, that's super tradable.
1708.20s:  All that's super tradable.
1709.48s:  There's relative values there,
1710.76s:  but I don't want to get too far in the weeds there.
1712.84s:  I just caught my eye.
1714.80s:  So you can look at the relative cheapness
1717.60s:  or expansiveness of maybe out the money options
1720.16s:  versus in the money options.
1721.36s:  You can look at relative pricing.
1723.52s:  But this is more for a different style of trading.
1725.60s:  I just want you to know it exists.
1727.60s:  But what you're looking here is a volatility surface.
1730.00s:  It's not as pretty as the 3D models,
1732.72s:  but it gives you the same information.
1735.24s:  And like seeing things that include crossovers,
1738.72s:  like this 19 July to 26 July, I can see that pretty clear as day.
1743.24s:  So if I clear everything out and just show you those,
1745.04s:  this right here, that's a tradable event.
1747.32s:  This entire thing is a tradable event.
1750.84s:  So there's a lot of different opportunities
1753.00s:  with trading vol directly,
1755.92s:  but that's not what your question was.
1758.64s:  It was more about the expansiveness of options.
1762.80s:  So give me a random ticker,
1765.88s:  and then I will run through this whole process
1768.36s:  because I know that that seems like a lot,
1770.72s:  but it takes less than two minutes.
1773.28s:  So if you give me a random ticker,
1774.88s:  something not that we look at all the time,
1777.96s:  I will pull it up and then I will assess
1780.48s:  the options for you real time.
1785.12s:  SMCI game.
1787.96s:  Let's take a look at SMCI.
1790.28s:  SMCI.
1791.24s:  All right, so the first thing I notice is
1793.12s:  we are trending sideways.
1795.72s:  So the reason why that matters to me
1797.32s:  is because if we have big drops in price,
1800.36s:  I inherently know volatility tends to be higher.
1803.72s:  So I scout's honor,
1805.88s:  I haven't looked at the top corner yet,
1808.20s:  but when I look at this,
1809.48s:  I see something that went through a drop
1811.92s:  and has been trending sideways.
1813.80s:  So I would expect volatility to be low,
1816.92s:  however it is earnings coming up.
1819.76s:  So my expectation of vol in that case
1822.48s:  would be actually much higher.
1824.80s:  So IVP 71%, so that doesn't surprise me.
1830.52s:  So what I'm doing is quickly using the chart
1832.56s:  to get a sense of how price is moving
1834.36s:  that will inform a little bit of where
1838.20s:  how volatile or how expensive options can be.
1842.12s:  Now I looked at IVP.
1844.60s:  The other thing I notice is IV and this is 88%.
1847.20s:  On a gross amount that is a relatively high number.
1852.44s:  If I give you a comparison really quick, like GE, 38%.
1857.80s:  And look at this,
1859.56s:  the IV and GE is 38%,
1861.80s:  the IV percentile is 97%.
1865.36s:  So what this is telling you in GE,
1867.48s:  even though IV is only 38,
1869.64s:  that's crazy expensive for what this is on a relative basis.
1873.64s:  Okay, so back to SMCI.
1875.68s:  First thing, price down tells me vol typically a little bit higher.
1879.56s:  Trending sideways would tell me vol probably contracting.
1883.32s:  Earnings coming up, tells me vol probably higher.
1886.28s:  Now I can skip all of that.
1888.24s:  I'm just walking through my actual thought process out loud.
1892.20s:  Now I look at IV, 88% gross number is high,
1895.80s:  tells me expensive.
1897.60s:  IVP 71%, tells me expensive.
1902.48s:  Go into the options chain.
1904.64s:  I look at the expiration cycles.
1907.16s:  I see front is cheap.
1909.16s:  The next two cycles expensive, slightly cheaper,
1912.32s:  more expensive all the way out until we get about here.
1916.04s:  And I notice this is actually a slight anomaly.
1919.64s:  These options in this expiration cycle being this low,
1923.64s:  relative to the others, same with the 68%.
1926.68s:  These tell me these two on a relative basis are quite cheap.
1931.16s:  So if I wanted to buy options,
1934.52s:  I might look at something a little further out,
1936.44s:  and then you have to go into liquidity and all that shit.
1938.72s:  But I'm just letting you know from IV perspective,
1943.40s:  I can see what's expensive versus what's not.
1945.44s:  Like this in here is expensive.
1947.40s:  It's essentially the top end of the options chain.
1951.20s:  So depending on what kind of trade I'm looking to put on,
1954.16s:  I either might want them to be expensive
1956.20s:  or I might want them to be cheap.
1957.80s:  Depending on what scenario I would either go there or here.
1961.36s:  So now going out here to the 20 December,
1965.08s:  and a quick assessment of the options,
1968.96s:  I see that there's actually very, very slight call skew
1974.24s:  in terms of vol.
1976.16s:  So when I look at these,
1977.96s:  and it's also because of delta actually,
1980.36s:  so let me redact that and look at seem to seem comparison.
1984.44s:  75, yes, still there.
1986.68s:  So what I'm doing now is I'm comparing the same delta options.
1990.28s:  I see a 31 delta put here,
1993.04s:  and I see a 31 delta call way out here.
1996.60s:  The 31 delta call has 75.6% vol.
2002.20s:  The 31 delta put has 72.99%.
2006.00s:  Very often you'll see the inverse.
2008.48s:  The market tends to price in the downside
2011.84s:  way more heavily than the upside,
2013.52s:  but when you're looking at individual tickers like this,
2015.88s:  or even if you've been following
2017.12s:  what I've been looking at with GameStop,
2019.00s:  they tend to be skewed actually quite a lot.
2022.72s:  So if I now have a pretty comprehensive picture
2027.56s:  of how expensive volatility is.
2030.88s:  So let me know specifically,
2033.04s:  I think Reese, that was originally your question.
2037.20s:  Let me know if that answers your question.
2038.96s:  I hope that going through that exercise
2041.36s:  is useful for you.
2043.88s:  Let me take a quick look at some of these other questions.
2047.40s:  And then by the way, if you drop a question further up
2049.92s:  and I miss it, don't feel for, don't be bashful.
2052.76s:  Drop it back in.
2053.72s:  I kind of just try to keep up with what's flowing through
2057.08s:  so that I'm not flipping all the way up
2058.84s:  because it takes time.
2060.20s:  But Mr. Squishmello, AMC Squishmello,
2064.56s:  that's a hilarious name.
2066.08s:  How do you identify the delta of a contract
2068.52s:  when you are swapping only fans pages in the open up market?
2073.80s:  That confused me.
2075.68s:  But I would probably direct most of your attention
2078.28s:  to the only fans pages and not worry so much
2081.24s:  about the delta.
2083.84s:  That would be my guess.
2087.44s:  Ben Wallace says, what is expensive really mean here?
2089.52s:  Premium paid per delta?
2090.76s:  You could look at it that way.
2092.40s:  It essentially just means how expensive the balls are.
2095.72s:  Like that's at the end of the day
2097.12s:  when you're trading options, you're trading ball
2099.20s:  to some degree or to another.
2101.08s:  That's really, you're seeing how expensive the ball is
2104.24s:  that you're transacting at.
2107.64s:  That's the easiest way to think about it.
2111.72s:  Carlos says, what platform?
2112.72s:  This is Thinkors Swim.
2113.72s:  I still find that so novel that so many people
2117.08s:  aren't really used to looking at Thinkors Swim.
2119.48s:  It's fascinating to me.
2120.76s:  It's not a dig at anybody.
2122.32s:  It's just because obviously it's telling me
2124.32s:  that I'm becoming an old head at my right page of 33
2127.60s:  because when I look at like primary trading platforms,
2130.36s:  this is so popular, but I guess most people
2132.48s:  are used to using stuff like Robinhood now in Wee Bowl.
2135.68s:  Very interesting.
2141.44s:  Ben Wallace says, so the price per expected tick change,
